CVTA_ID,SampleDateTime,ForkLength,LAD_Race,Genetic_Assignment,Prob_Assignment,Spring_Pop_Assignment,Facility,Date_Assigned
U110510SWP,2011-04-19 01:00,108,Spring,Fall,0.887,NA,SWP,2025-06-27
U110525SWP,2011-04-20 03:00,108,Spring,Fall,0.87,NA,SWP,2025-06-27
U110526SWP,2011-04-20 03:00,111,Spring,Fall,0.805,NA,SWP,2025-06-27
U110543SWP,2011-04-21 00:00,105,Spring,Fall,0.959,NA,SWP,2025-06-27
U110538SWP,2011-04-21 00:00,95,Spring,Spring,0.901,Feather River,SWP,2025-06-27
U110536SWP,2011-04-21 00:00,115,Spring,Fall,0.568,NA,SWP,2025-06-27
U110537SWP,2011-04-21 03:00,116,Spring,Spring,0.419,Feather River,SWP,2025-06-27
U110556SWP,2011-04-22 00:00,118,Spring,Spring,0.499,Feather River,SWP,2025-06-27
U110590SWP,2011-04-23 00:00,97,Spring,Fall,0.967,NA,SWP,2025-06-27
U110625SWP,2011-04-23 00:00,117,Spring,Fall,0.564,NA,SWP,2025-06-27
U110629SWP,2011-04-23 00:00,117,Spring,Fall,0.5,NA,SWP,2025-06-27
U110530CVP,2011-04-23 14:00,114,Spring,Spring,1,Butte Creek Spring,CVP,2025-06-27
U110662SWP,2011-04-24 00:00,116,Spring,Fall,0.9,NA,SWP,2025-06-27
U110648SWP,2011-04-24 00:00,101,Spring,Fall,0.706,NA,SWP,2025-06-27
U110682SWP,2011-04-24 00:00,109,Spring,Fall,0.547,NA,SWP,2025-06-27
U110698SWP,2011-04-25 00:00,115,Spring,Fall,0.931,NA,SWP,2025-06-27
U110572CVP,2011-04-25 11:59,116,Spring,Fall,0.778,NA,CVP,2025-06-27
U110465SWP,2011-04-27 00:00,116,Spring,Fall,0.74,NA,SWP,2025-06-27
U110747SWP,2011-04-27 13:00,111,Spring,Fall,0.568,NA,SWP,2025-06-27
U110752SWP,2011-04-27 15:00,109,Spring,Fall,0.91,NA,SWP,2025-06-27
U110723SWP,2011-04-27 01:00,121,Spring,Spring,1,Butte Creek Spring,SWP,2025-06-27
U110468SWP,2011-04-27 21:00,98,Spring,Fall,0.989,NA,SWP,2025-06-27
U110585CVP,2011-04-27 02:00,117,Spring,Fall,0.946,NA,CVP,2025-06-27
U110832SWP,2011-04-28 13:00,119,Spring,Fall,0.997,NA,SWP,2025-06-27
U110838SWP,2011-04-28 17:00,95,Spring,Spring,0.933,Feather River,SWP,2025-06-27
U110776SWP,2011-04-28 03:00,111,Spring,Fall,0.695,NA,SWP,2025-06-27
U110779SWP,2011-04-28 05:00,119,Spring,Fall,0.96,NA,SWP,2025-06-27
U110820SWP,2011-04-28 09:00,103,Spring,Fall,0.828,NA,SWP,2025-06-27
U110997SWP,2011-04-29 15:00,113,Spring,Fall,0.684,NA,SWP,2025-06-27
U111003SWP,2011-04-29 17:00,113,Spring,Fall,0.7,NA,SWP,2025-06-27
U111007SWP,2011-04-29 17:00,118,Spring,Fall,0.517,NA,SWP,2025-06-27
U111015SWP,2011-04-29 21:00,112,Spring,Fall,0.781,NA,SWP,2025-06-27
U111028SWP,2011-04-29 23:00,115,Spring,Fall,0.909,NA,SWP,2025-06-27
U110888SWP,2011-04-29 03:00,120,Spring,Fall,0.826,NA,SWP,2025-06-27
U111075SWP,2011-04-30 11:00,107,Spring,Fall,0.939,NA,SWP,2025-06-27
U111105SWP,2011-04-30 15:00,108,Spring,Fall,0.955,NA,SWP,2025-06-27
U111117SWPB,2011-04-30 19:00,96,Spring,Fall,0.788,NA,SWP,2025-06-27
U111135SWP,2011-04-30 23:00,107,Spring,Fall,0.93,NA,SWP,2025-06-27
U111136SWP,2011-04-30 23:00,112,Spring,Fall,0.644,NA,SWP,2025-06-27
U111141SWP,2011-04-30 23:00,106,Spring,Fall,0.433,NA,SWP,2025-06-27
U110624CVP,2011-04-30 02:00,110,Spring,Fall,0.888,NA,CVP,2025-06-27
U111064SWP,2011-04-30 09:00,97,Spring,Fall,0.562,NA,SWP,2025-06-27
U111196SWP,2011-05-01 11:00,114,Spring,Fall,1,NA,SWP,2025-06-27
U110642CVP,2011-05-01 20:00,103,Spring,Fall,0.347,NA,CVP,2025-06-27
U111222SWP,2011-05-01 21:00,120,Spring,Fall,0.882,NA,SWP,2025-06-27
U111224SWP,2011-05-01 21:00,121,Spring,Fall,0.54,NA,SWP,2025-06-27
U111229SWP,2011-05-01 23:00,102,Spring,Fall,0.741,NA,SWP,2025-06-27
U111228SWP,2011-05-01 23:00,117,Spring,Fall,0.441,NA,SWP,2025-06-27
U111160SWP,2011-05-01 03:00,117,Spring,Fall,0.43,NA,SWP,2025-06-27
U111189SWP,2011-05-01 09:00,101,Spring,Fall,0.554,NA,SWP,2025-06-27
U111288SWP,2011-05-02 15:00,104,Spring,Fall,0.93,NA,SWP,2025-06-27
U111251SWP,2011-05-02 03:00,109,Spring,Fall,0.968,NA,SWP,2025-06-27
U111269SWP,2011-05-02 05:00,96,Spring,Fall,0.921,NA,SWP,2025-06-27
U111268SWP,2011-05-02 05:00,97,Spring,Fall,0.471,NA,SWP,2025-06-27
U111278SWP,2011-05-02 09:00,115,Spring,Fall,0.884,NA,SWP,2025-06-27
U110748CVP,2011-05-03 12:50,100,Spring,Fall,0.364,NA,CVP,2025-06-27
U110679CVP,2011-05-03 02:00,110,Spring,Fall,0.794,NA,CVP,2025-06-27
U110846CVP,2011-05-04 02:00,122,Spring,Fall,0.969,NA,CVP,2025-06-27
U111038CVP,2011-05-05 12:00,95,Spring,Fall,0.978,NA,CVP,2025-06-27
U111021CVP,2011-05-05 08:00,96,Spring,Fall,0.801,NA,CVP,2025-06-27
U111309SWP,2011-05-06 00:30,118,Spring,Fall,0.705,NA,SWP,2025-06-27
U111342SWP,2011-05-06 23:00,113,Spring,Fall,0.634,NA,SWP,2025-06-27
U111351SWP,2011-05-07 01:00,104,Spring,Fall,0.939,NA,SWP,2025-06-27
U111949SWP,2011-05-07 23:00,118,Spring,Fall,0.547,NA,SWP,2025-06-27
U111355SWP,2011-05-07 03:00,132,Spring,Fall,0.78,NA,SWP,2025-06-27
U112050SWP,2011-05-08 17:00,120,Spring,Fall,0.993,NA,SWP,2025-06-27
U112057SWPB,2011-05-08 17:00,110,Spring,Fall,0.381,NA,SWP,2025-06-27
U112083SWP,2011-05-08 23:00,112,Spring,Fall,0.904,NA,SWP,2025-06-27
U112019SWP,2011-05-08 09:00,93,Fall,Fall,0.689,NA,SWP,2025-06-27
U112330SWP,2011-05-12 21:00,122,Spring,Spring,0.999,Feather River,SWP,2025-06-27
U112339SWP,2011-05-12 23:00,118,Spring,Fall,0.575,NA,SWP,2025-06-27
U112296SWP,2011-05-12 05:00,111,Spring,Fall,0.998,NA,SWP,2025-06-27
U112298SWP,2011-05-12 05:00,107,Spring,Fall,0.983,NA,SWP,2025-06-27
U111494CVP,2011-05-13 09:55,104,Spring,Fall,0.842,NA,CVP,2025-06-27
U112412SWP,2011-05-14 17:00,107,Spring,Fall,0.502,NA,SWP,2025-06-27
U112378SWP,2011-05-14 03:00,106,Spring,Fall,0.669,NA,SWP,2025-06-27
U112484SWP,2011-05-15 21:00,109,Spring,Fall,0.729,NA,SWP,2025-06-27
U112481SWP,2011-05-15 21:00,101,Spring,Fall,0.524,NA,SWP,2025-06-27
U112533SWP,2011-05-16 21:00,115,Spring,Fall,0.953,NA,SWP,2025-06-27
U112540SWP,2011-05-16 21:00,91,Fall,Fall,0.945,NA,SWP,2025-06-27
U112528SWP,2011-05-16 21:00,112,Spring,Fall,0.856,NA,SWP,2025-06-27
U111462SWP,2011-05-18 11:00,98,Fall,Fall,0.979,NA,SWP,2025-06-27
U111467SWP,2011-05-18 15:00,112,Spring,Fall,0.995,NA,SWP,2025-06-27
U111887CVP,2011-05-21 10:00,104,Spring,Fall,0.748,NA,CVP,2025-06-27
U111923CVP,2011-05-21 10:00,106,Spring,Fall,0.694,NA,CVP,2025-06-27
U111906CVP,2011-05-21 20:00,102,Spring,Fall,0.577,NA,CVP,2025-06-27
U112652SWP,2011-05-23 21:00,105,Spring,Fall,0.924,NA,SWP,2025-06-27
U111489SWP,2011-05-23 23:59,104,Spring,Fall,0.908,NA,SWP,2025-06-27
U112638SWP,2011-05-23 07:00,112,Spring,Fall,0.726,NA,SWP,2025-06-27
U111502SWP,2011-05-24 17:00,110,Spring,Fall,0.542,NA,SWP,2025-06-27
U111505SWP,2011-05-24 21:00,109,Spring,Fall,0.988,NA,SWP,2025-06-27
U112037CVP,2011-05-24 08:00,101,Fall,Late Fall,0.993,NA,CVP,2025-06-27
U111565SWP,2011-05-28 21:00,105,Fall,Fall,0.68,NA,SWP,2025-06-27
U111582SWP,2011-05-30 17:00,114,Spring,Fall,0.954,NA,SWP,2025-06-27
U111628SWP,2011-06-01 17:00,90,Fall,Fall,0.501,NA,SWP,2025-06-27
U111639SWP,2011-06-01 21:00,110,Spring,Fall,0.679,NA,SWP,2025-06-27
U111651SWP,2011-06-01 23:59,113,Spring,Fall,0.978,NA,SWP,2025-06-27
U112394CVP,2011-06-02 16:00,106,Fall,Fall,0.465,NA,CVP,2025-06-27
U111662SWP,2011-06-02 21:00,99,Fall,Fall,0.784,NA,SWP,2025-06-27
U111655SWP,2011-06-02 03:00,104,Fall,Fall,0.705,NA,SWP,2025-06-27
U111670SWP,2011-06-03 11:00,110,Fall,Fall,0.55,NA,SWP,2025-06-27
U112692SWP,2011-06-03 07:00,100,Fall,Fall,0.607,NA,SWP,2025-06-27
U112799SWP,2011-06-06 13:00,107,Fall,Fall,0.971,NA,SWP,2025-06-27
U112638CVP,2011-06-06 14:00,122,Spring,Spring,1,Butte Creek Spring,CVP,2025-06-27
U112807SWP,2011-06-06 15:00,107,Fall,Fall,0.85,NA,SWP,2025-06-27
U111704SWP,2011-06-06 21:00,108,Fall,Fall,0.761,NA,SWP,2025-06-27
U112815SWP,2011-06-06 21:00,118,Spring,Fall,0.694,NA,SWP,2025-06-27
U112794SWP,2011-06-06 09:00,107,Fall,Fall,0.96,NA,SWP,2025-06-27
U112680CVP,2011-06-07 14:00,105,Fall,Fall,0.919,NA,CVP,2025-06-27
U112836SWP,2011-06-07 15:00,91,Fall,Fall,0.778,NA,SWP,2025-06-27
U112837SWP,2011-06-07 15:00,98,Fall,Fall,0.491,NA,SWP,2025-06-27
U112867SWP,2011-06-08 17:00,104,Fall,Fall,0.659,NA,SWP,2025-06-27
U111749SWP,2011-06-10 01:00,121,Spring,Fall,0.427,NA,SWP,2025-06-27
U112967SWP,2011-06-13 11:00,114,Fall,Fall,0.464,NA,SWP,2025-06-27
U111803SWP,2011-06-17 07:00,99,Fall,Fall,0.623,NA,SWP,2025-06-27
U113071SWP,2011-06-24 13:00,116,Fall,Fall,0.534,NA,SWP,2025-06-27
U120007CVP,2012-01-27 11:00,153,Winter,Late Fall,0.999,NA,CVP,2025-06-27
U120011CVP,2012-01-31 10:00,160,Winter,Late Fall,1,NA,CVP,2025-06-27
U120016CVP,2012-02-03 12:00,142,Winter,Fall,0.533,NA,CVP,2025-06-27
U120032SWP,2012-03-06 10:00,132,Winter,Late Fall,1,NA,SWP,2025-06-27
U120034SWP,2012-03-06 15:00,174,Winter,Late Fall,1,NA,SWP,2025-06-27
U120037SWP,2012-03-06 19:00,147,Winter,Late Fall,0.769,NA,SWP,2025-06-27
U120031CVP,2012-03-10 14:00,157,Winter,Late Fall,1,NA,CVP,2025-06-27
U120033CVP,2012-03-10 20:00,215,Winter,Late Fall,1,NA,CVP,2025-06-27
U120039CVP,2012-03-11 20:00,138,Winter,Late Fall,0.999,NA,CVP,2025-06-27
U120057CVP,2012-03-16 16:00,177,Winter,Late Fall,1,NA,CVP,2025-06-27
U120060CVP,2012-03-16 16:00,119,Winter,Late Fall,1,NA,CVP,2025-06-27
U120063CVP,2012-03-17 12:00,122,Winter,Late Fall,1,NA,CVP,2025-06-27
U120068CVP,2012-03-18 06:00,145,Winter,Fall,0.877,NA,CVP,2025-06-27
U120096CVP,2012-03-19 10:00,156,Winter,Late Fall,0.623,NA,CVP,2025-06-27
U120095CVP,2012-03-19 10:00,132,Winter,Fall,0.54,NA,CVP,2025-06-27
U120074SWP,2012-03-20 06:00,176,Winter,Fall,0.723,NA,SWP,2025-06-27
U120085SWP,2012-03-21 15:15,132,Winter,Late Fall,1,NA,SWP,2025-06-27
U120133CVP,2012-03-23 16:00,106,Spring,Spring,0.633,Feather River,CVP,2025-06-27
U120150CVP,2012-03-26 08:00,122,Winter,Spring,0.737,Mill/Deer Creek Spring,CVP,2025-06-27
U120163CVP,2012-03-27 16:00,144,Winter,Late Fall,0.352,NA,CVP,2025-06-27
U120166CVP,2012-03-28 04:00,123,Winter,Fall,0.996,NA,CVP,2025-06-27
U120167CVP,2012-03-28 06:00,108,Spring,Fall,0.717,NA,CVP,2025-06-27
U120172CVP,2012-03-29 14:00,95,Spring,Fall,0.973,NA,CVP,2025-06-27
U120094SWP,2012-03-29 03:00,159,Winter,Fall,0.657,NA,SWP,2025-06-27
U120098SWP,2012-03-30 15:00,125,Winter,Fall,0.769,NA,SWP,2025-06-27
U120101SWP,2012-03-30 21:00,102,Spring,Fall,0.964,NA,SWP,2025-06-27
U120126SWP,2012-03-31 15:00,96,Spring,Late Fall,0.991,NA,SWP,2025-06-27
U120130SWP,2012-03-31 17:00,92,Spring,Spring,0.999,Butte Creek Spring,SWP,2025-06-27
U120135SWP,2012-03-31 19:00,118,Spring,Spring,0.763,Feather River,SWP,2025-06-27
U120137SWP,2012-03-31 20:00,104,Spring,Fall,0.783,NA,SWP,2025-06-27
U120136SWP,2012-03-31 20:00,81,Spring,Spring,0.711,Feather River,SWP,2025-06-27
U120107SWP,2012-03-31 07:00,181,Winter,Late Fall,1,NA,SWP,2025-06-27
U120109SWP,2012-03-31 07:00,89,Spring,Fall,0.873,NA,SWP,2025-06-27
U120108SWP,2012-03-31 07:00,111,Spring,Fall,0.76,NA,SWP,2025-06-27
U120149SWP,2012-04-03 05:00,122,Spring,Spring,0.935,Feather River,SWP,2025-06-27
U120198CVP,2012-04-04 18:00,108,Spring,Fall,0.773,NA,CVP,2025-06-27
U120200CVP,2012-04-07 08:00,160,Winter,Late Fall,0.997,NA,CVP,2025-06-27
U120203CVP,2012-04-07 08:00,78,Spring,Fall,0.475,NA,CVP,2025-06-27
U120256CVP,2012-04-16 14:00,90,Spring,Fall,0.953,NA,CVP,2025-06-27
U120252CVP,2012-04-16 08:00,90,Spring,Fall,0.797,NA,CVP,2025-06-27
U120169SWP,2012-04-17 10:00,113,Spring,Fall,0.546,NA,SWP,2025-06-27
U120163SWP,2012-04-17 05:00,123,Spring,Spring,1,Butte Creek Spring,SWP,2025-06-27
U120181SWP,2012-04-18 13:00,98,Spring,Fall,0.849,NA,SWP,2025-06-27
U120265CVP,2012-04-18 14:00,143,Winter,Fall,0.583,NA,CVP,2025-06-27
U120187SWP,2012-04-19 11:00,98,Spring,Spring,1,Butte Creek Spring,SWP,2025-06-27
U120207SWP,2012-04-21 21:00,92,Spring,Fall,1,NA,SWP,2025-06-27
U120246SWP,2012-04-23 10:00,103,Spring,Fall,0.858,NA,SWP,2025-06-27
U120250SWP,2012-04-24 23:59,107,Spring,Spring,1,Butte Creek Spring,SWP,2025-06-27
U120317CVP,2012-04-26 12:00,99,Spring,Fall,0.536,NA,CVP,2025-06-27
U120258SWP,2012-04-28 01:00,91,Spring,Spring,1,Butte Creek Spring,SWP,2025-06-27
U120303SWP,2012-05-10 05:00,97,Spring,Fall,0.956,NA,SWP,2025-06-27
U120382CVP,2012-05-14 10:00,101,Spring,Spring,0.92,Feather River,CVP,2025-06-27
U120378CVP,2012-05-14 14:00,86,Fall,Late Fall,0.503,NA,CVP,2025-06-27
U120403CVP,2012-05-16 10:00,93,Fall,Fall,0.904,NA,CVP,2025-06-27
U120411CVP,2012-05-17 10:00,86,Fall,Fall,0.461,NA,CVP,2025-06-27
U120488CVP,2012-12-18 06:00,127,Winter,Late Fall,1,NA,CVP,2025-06-27
C130003CVP,2013-02-08 22:00,167,Winter,Late Fall,1,NA,CVP,2025-06-27
C130155SWP,2013-04-04 23:00,94,Spring,Fall,0.633,NA,SWP,2025-06-27
C130185SWP,2013-04-08 05:00,78,Spring,Fall,0.387,NA,SWP,2025-06-27
C130221SWP,2013-04-17 21:00,111,Spring,Spring,1,Butte Creek Spring,SWP,2025-06-27
C130266SWP,2013-04-24 09:00,84,Fall,Fall,0.589,NA,SWP,2025-06-27
C130405SWP,2013-05-01 19:00,87,Fall,Fall,0.498,NA,SWP,2025-06-27
C130397SWP,2013-05-01 06:00,86,Fall,Fall,0.885,NA,SWP,2025-06-27
C130490SWP,2013-05-11 15:00,90,Fall,Fall,0.838,NA,SWP,2025-06-27
C130564SWP,2013-05-18 09:00,87,Fall,Fall,0.976,NA,SWP,2025-06-27
C130578SWP,2013-05-19 11:00,96,Fall,Fall,0.968,NA,SWP,2025-06-27
C130605SWP,2013-05-20 17:00,90,Fall,Fall,0.84,NA,SWP,2025-06-27
C130595SWP,2013-05-20 09:00,85,Fall,Fall,0.744,NA,SWP,2025-06-27
C130652SWP,2013-05-24 00:00,95,Fall,Fall,0.69,NA,SWP,2025-06-27
C140003CVP,2014-03-03 22:00,144,Winter,Fall,0.515,NA,CVP,2025-06-27
C140014CVP,2014-03-13 06:00,65,Spring,Fall,0.792,NA,CVP,2025-06-27
C140017CVP,2014-03-17 18:00,110,Winter,Spring,0.996,Feather River,CVP,2025-06-27
C140020CVP,2014-03-18 10:00,57,Fall,Fall,0.397,NA,CVP,2025-06-27
C140028CVP,2014-03-19 18:00,104,Spring,Spring,0.897,Feather River,CVP,2025-06-27
C140040CVP,2014-03-21 18:00,80,Spring,Fall,0.953,NA,CVP,2025-06-27
C140039CVP,2014-03-21 18:00,95,Spring,Spring,0.828,Feather River,CVP,2025-06-27
C140059CVP,2014-04-04 20:00,90,Spring,Spring,1,Butte Creek Spring,CVP,2025-06-27
C140063CVP,2014-04-04 22:00,92,Spring,Spring,1,Butte Creek Spring,CVP,2025-06-27
C140073CVP,2014-04-05 16:00,83,Spring,Spring,1,Butte Creek Spring,CVP,2025-06-27
C140105CVP,2014-04-09 23:59,75,Fall,Fall,0.815,NA,CVP,2025-06-27
C140119CVP,2014-04-14 06:00,75,Fall,Spring,1,Butte Creek Spring,CVP,2025-06-27
C140126CVP,2014-04-16 18:00,84,Spring,Spring,1,Butte Creek Spring,CVP,2025-06-27
C140156CVP,2014-04-19 22:00,74,Fall,Fall,0.81,NA,CVP,2025-06-27
C140168CVP,2014-04-21 22:00,75,Fall,Fall,0.926,NA,CVP,2025-06-27
C140197CVP,2014-04-23 16:00,96,Spring,Spring,1,Butte Creek Spring,CVP,2025-06-27
C140204CVP,2014-04-24 10:00,78,Fall,Fall,0.952,NA,CVP,2025-06-27
C140206CVP,2014-04-25 02:00,83,Fall,Fall,1,NA,CVP,2025-06-27
C140223CVP,2014-04-26 22:00,81,Fall,Fall,0.792,NA,CVP,2025-06-27
C140231CVP,2014-04-27 20:00,80,Fall,Fall,0.987,NA,CVP,2025-06-27
C140235CVP,2014-04-28 06:00,86,Fall,Fall,0.998,NA,CVP,2025-06-27
C140264CVP,2014-04-29 18:00,85,Fall,Fall,0.701,NA,CVP,2025-06-27
C140293CVP,2014-05-10 18:00,98,Spring,Fall,0.992,NA,CVP,2025-06-27
C140002SWP,2014-12-12 03:00,710,NA,Late Fall,1,NA,SWP,2025-06-27
C150006CVP,2015-03-30 22:00,103,Spring,Spring,1,Butte Creek Spring,CVP,2025-06-27
C150003SWP,2015-03-31 09:00,190,Winter,Late Fall,1,NA,SWP,2025-06-27
C150009CVP,2015-04-09 10:00,80,Spring,Fall,0.63,NA,CVP,2025-06-27
C150090CVP,2015-12-22 00:00,160,Late Fall,Late Fall,0.973,NA,CVP,2025-06-27
C160085SWP,2016-01-06 12:00,548,NA,Fall,0.929,NA,SWP,2025-06-27
C160088SWP,2016-02-19 13:00,44,Fall,Fall,0.692,NA,SWP,2025-06-27
C160108CVP,2016-02-26 00:00,57,Fall,Fall,0.845,NA,CVP,2025-06-27
C160123CVP,2016-03-21 00:00,81,Spring,Spring,0.774,Feather River,CVP,2025-06-27
C160125CVP,2016-03-21 00:00,91,Spring,Spring,0.752,Feather River,CVP,2025-06-27
C160124CVP,2016-03-21 00:00,111,Winter,Fall,0.502,NA,CVP,2025-06-27
C160135CVP,2016-04-13 00:00,75,Fall,Late Fall,0.999,NA,CVP,2025-06-27
C160137CVP,2016-04-14 00:00,104,Spring,Fall,0.647,NA,CVP,2025-06-27
C170503CVP,2017-01-21 00:00,32,Fall,Fall,0.977,NA,CVP,2025-06-27
C170171SWP,2017-01-25 00:00,31,Fall,Fall,0.552,NA,SWP,2025-06-27
C171297CVP,2017-04-06 04:00,105,Spring,Fall,0.416,NA,CVP,2025-06-27
C171364CVP,2017-04-07 22:00,108,Spring,Fall,0.988,NA,CVP,2025-06-27
C171375CVP,2017-04-08 04:00,110,Spring,Fall,0.937,NA,CVP,2025-06-27
C171399CVP,2017-04-09 04:00,99,Spring,Fall,0.96,NA,CVP,2025-06-27
C171400CVP,2017-04-09 04:00,100,Spring,Fall,0.931,NA,CVP,2025-06-27
C171408CVP,2017-04-09 08:00,100,Spring,Fall,0.581,NA,CVP,2025-06-27
C171422CVP,2017-04-10 02:00,92,Spring,Fall,0.982,NA,CVP,2025-06-27
C171423CVP,2017-04-10 04:00,95,Spring,Fall,0.985,NA,CVP,2025-06-27
C171425CVP,2017-04-10 06:00,94,Spring,Fall,0.979,NA,CVP,2025-06-27
C171434CVP,2017-04-10 08:00,97,Spring,Fall,0.836,NA,CVP,2025-06-27
C171596CVP,2017-04-13 20:00,113,Spring,Fall,0.461,NA,CVP,2025-06-27
C172164CVP,2017-04-24 04:00,99,Spring,Fall,0.949,NA,CVP,2025-06-27
C172175CVP,2017-04-24 06:00,110,Spring,Fall,0.931,NA,CVP,2025-06-27
C172178CVP,2017-04-24 06:00,105,Spring,Fall,0.534,NA,CVP,2025-06-27
C172300CVP,2017-04-26 04:00,107,Spring,Spring,0.887,Feather River,CVP,2025-06-27
C172871CVP,2017-05-01 16:00,106,Spring,Fall,0.732,NA,CVP,2025-06-27
C172878CVP,2017-05-01 22:00,113,Spring,Fall,0.491,NA,CVP,2025-06-27
C172057SWP,2017-05-02 20:15,112,Spring,Fall,0.698,NA,SWP,2025-06-27
C172083SWP,2017-05-02 23:00,110,Spring,Fall,0.785,NA,SWP,2025-06-27
C172126SWP,2017-05-03 15:30,97,Spring,Late Fall,0.657,NA,SWP,2025-06-27
C172127SWP,2017-05-03 15:30,123,Spring,Fall,0.585,NA,SWP,2025-06-27
C172088SWP,2017-05-03 01:00,114,Spring,Fall,0.961,NA,SWP,2025-06-27
C172093SWP,2017-05-03 01:00,120,Spring,Fall,0.634,NA,SWP,2025-06-27
C172095SWP,2017-05-03 03:00,118,Spring,Fall,0.939,NA,SWP,2025-06-27
C173271CVP,2017-05-11 00:00,104,Spring,Fall,0.446,NA,CVP,2025-06-27
C174464CVP,2017-05-30 22:00,108,Spring,Fall,0.86,NA,CVP,2025-06-27
C175400CVP,2017-06-15 00:00,NA,NA,Late Fall,1,NA,CVP,2025-06-27
C180104SWP,2018-03-26 22:00,86,Spring,Fall,0.708,NA,SWP,2025-06-27
C180040SWP,2018-03-29 07:00,102,Spring,Fall,0.436,NA,SWP,2025-06-27
C180356SWP,2018-04-02 23:00,93,Spring,Fall,0.995,NA,SWP,2025-06-27
C180385SWP,2018-04-03 21:00,86,Spring,Fall,0.985,NA,SWP,2025-06-27
C180283SWP,2018-04-04 11:00,105,Spring,Fall,0.755,NA,SWP,2025-06-27
C180290SWP,2018-04-05 11:00,83,Spring,Fall,0.996,NA,SWP,2025-06-27
C180289SWP,2018-04-05 09:00,83,Spring,Fall,0.967,NA,SWP,2025-06-27
C180487SWP,2018-04-06 19:00,89,Spring,Fall,0.735,NA,SWP,2025-06-27
C180555SWP,2018-04-07 21:00,88,Spring,Fall,0.932,NA,SWP,2025-06-27
C180562SWP,2018-04-08 11:00,82,Spring,Fall,0.926,NA,SWP,2025-06-27
C180653SWP,2018-04-08 17:00,95,Spring,Fall,0.911,NA,SWP,2025-06-27
C181911CVP,2018-04-22 23:59,95,Spring,Fall,0.688,NA,CVP,2025-06-27
C182656CVP,2018-05-10 16:00,89,Fall,Fall,0.469,NA,CVP,2025-06-27
C190056SWP,2019-03-23 13:00,96,Spring,Fall,0.689,NA,SWP,2025-06-27
C200019SWP,2020-04-07 00:00,96,Spring,Fall,0.638,NA,SWP,2025-06-27
