ID,SampleDateTime,ForkLength,Julian,Genetic_Assignment,Prob_Assignment,greb1L_classification,LAD_Race,Facility
U110032CVP,2011-01-11 18:00,123,196,Fall / Late Fall,0.589,,Winter,CVP
U110033CVP,2011-01-14 06:00,37,198,Spring,0.705,,Fall,CVP
U110035CVP,2011-01-15 08:00,40,199,Fall / Late Fall,0.648,,Fall,CVP
U110039CVP,2011-01-17 08:00,40,201,Fall / Late Fall,0.997,,Fall,CVP
U110042CVP,2011-01-18 16:00,35,202,Fall / Late Fall,0.998,,Fall,CVP
U110043CVP,2011-01-18 20:00,38,203,Fall / Late Fall,0.999,,Fall,CVP
U110045CVP,2011-01-19 08:00,40,203,Fall / Late Fall,0.986,,Fall,CVP
U110046CVP,2011-01-19 16:00,129,204,Fall / Late Fall,0.986,,Winter,CVP
U110047CVP,2011-01-20 04:00,155,204,Fall / Late Fall,0.847,,Winter,CVP
U110049CVP,2011-01-21 20:00,38,206,Fall / Late Fall,0.998,,Fall,CVP
U110050CVP,2011-01-21 22:00,155,205,Spring,0.864,,Winter,CVP
U110055CVP,2011-01-22 18:00,38,206,Fall / Late Fall,0.954,,Fall,CVP
U110056CVP,2011-01-22 23:59,37,206,Fall / Late Fall,0.846,,Fall,CVP
U110057CVP,2011-01-23 02:00,130,207,Fall / Late Fall,0.73,,Winter,CVP
U110059CVP,2011-01-23 02:00,35,207,Fall / Late Fall,1,,Fall,CVP
U110060CVP,2011-01-23 04:00,33,207,Fall / Late Fall,0.698,,Fall,CVP
U110061CVP,2011-01-23 04:00,37,207,Fall / Late Fall,0.844,,Fall,CVP
U110063CVP,2011-01-23 06:00,35,207,Fall / Late Fall,0.999,,Fall,CVP
U110064CVP,2011-01-23 06:00,35,207,Fall / Late Fall,0.999,,Fall,CVP
U110070CVP,2011-01-23 23:59,36,207,Fall / Late Fall,0.998,,Fall,CVP
U110069CVP,2011-01-23 23:59,35,208,Fall / Late Fall,0.998,,Fall,CVP
U110071CVP,2011-01-24 06:00,37,208,Fall / Late Fall,0.993,,Fall,CVP
U110072CVP,2011-01-24 08:00,37,208,Fall / Late Fall,0.999,,Fall,CVP
U110073CVP,2011-01-24 08:00,37,208,Fall / Late Fall,1,,Fall,CVP
U110074CVP,2011-01-24 16:00,36,209,Fall / Late Fall,0.963,,Fall,CVP
U110076CVP,2011-01-24 22:00,36,209,Fall / Late Fall,0.997,,Fall,CVP
U110078CVP,2011-01-25 22:00,41,209,Fall / Late Fall,0.983,,Fall,CVP
U110079CVP,2011-01-25 22:00,36,210,Fall / Late Fall,1,,Fall,CVP
U110083CVP,2011-01-26 04:00,38,210,Fall / Late Fall,0.956,,Fall,CVP
U110084CVP,2011-01-26 06:00,38,210,Fall / Late Fall,1,,Fall,CVP
U110085CVP,2011-01-26 06:00,37,210,Fall / Late Fall,0.985,,Fall,CVP
U110086CVP,2011-01-26 08:00,124,210,Fall / Late Fall,0.764,,Winter,CVP
U110087CVP,2011-01-26 14:00,140,210,Fall / Late Fall,0.999,,Winter,CVP
U110088CVP,2011-01-27 02:00,139,211,Fall / Late Fall,0.998,,Winter,CVP
U110091CVP,2011-01-27 02:00,37,211,Fall / Late Fall,0.732,,Fall,CVP
U110089CVP,2011-01-27 02:00,33,211,Fall / Late Fall,0.997,,Fall,CVP
U110090CVP,2011-01-27 02:00,36,211,Fall / Late Fall,1,,Fall,CVP
U110093CVP,2011-01-27 06:00,37,211,Spring,0.962,,Fall,CVP
U110094CVP,2011-01-27 06:00,37,211,Fall / Late Fall,0.955,,Fall,CVP
U110095CVP,2011-01-27 08:00,37,211,Fall / Late Fall,0.999,,Fall,CVP
U110096CVP,2011-01-27 08:00,37,211,Fall / Late Fall,1,,Fall,CVP
U110099CVP,2011-01-28 02:00,38,212,Fall / Late Fall,0.949,,Fall,CVP
U110100CVP,2011-01-28 04:00,134,212,Fall / Late Fall,0.99,,Winter,CVP
U110101CVP,2011-01-28 04:00,36,212,Fall / Late Fall,0.996,,Fall,CVP
U110102CVP,2011-01-28 16:00,34,212,Fall / Late Fall,0.917,,Fall,CVP
U110103CVP,2011-01-28 18:00,40,213,Fall / Late Fall,0.999,,Fall,CVP
U110104CVP,2011-01-29 02:00,38,213,Fall / Late Fall,1,,Fall,CVP
U110105CVP,2011-01-29 04:00,34,213,Fall / Late Fall,0.991,,Fall,CVP
U110106CVP,2011-01-29 04:00,36,213,Fall / Late Fall,0.7,,Fall,CVP
U110107CVP,2011-01-29 08:00,158,213,Spring,0.913,,Winter,CVP
U110108CVP,2011-01-29 10:00,36,213,Spring,0.694,,Fall,CVP
U110109CVP,2011-01-29 18:00,156,213,Spring,0.726,,Winter,CVP
U110110CVP,2011-01-29 18:00,142,214,Fall / Late Fall,0.95,,Winter,CVP
U110111CVP,2011-01-30 02:00,36,214,Fall / Late Fall,0.986,,Fall,CVP
U110112CVP,2011-01-30 04:00,37,214,Fall / Late Fall,0.981,,Fall,CVP
U110113CVP,2011-01-30 06:00,37,214,Fall / Late Fall,0.999,,Fall,CVP
U110114CVP,2011-01-30 08:00,37,214,Fall / Late Fall,0.943,,Fall,CVP
U110115CVP,2011-01-30 08:00,33,214,Fall / Late Fall,0.997,,Fall,CVP
U110116CVP,2011-01-30 14:00,38,214,Fall / Late Fall,0.995,,Fall,CVP
U110117CVP,2011-01-31 02:00,40,215,Fall / Late Fall,0.998,,Fall,CVP
U110118CVP,2011-01-31 20:00,40,216,Fall / Late Fall,0.958,,Fall,CVP
U110119CVP,2011-02-01 02:00,130,216,Spring,0.593,,Winter,CVP
U110120CVP,2011-02-01 14:00,38,216,Fall / Late Fall,0.999,,Fall,CVP
U110121CVP,2011-02-02 04:00,37,217,Fall / Late Fall,0.971,,Fall,CVP
U110122CVP,2011-02-02 10:00,39,217,Fall / Late Fall,0.997,,Fall,CVP
U110123CVP,2011-02-03 02:00,30,218,Fall / Late Fall,1,,Fall,CVP
U110124CVP,2011-02-03 10:00,41,218,Fall / Late Fall,0.991,,Fall,CVP
U110125CVP,2011-02-03 14:00,125,219,Fall / Late Fall,0.993,,Winter,CVP
U110126CVP,2011-02-03 18:00,38,219,Fall / Late Fall,0.982,,Fall,CVP
U110127CVP,2011-02-04 06:00,154,219,Fall / Late Fall,0.983,,Winter,CVP
U110128CVP,2011-02-04 08:00,39,219,Fall / Late Fall,0.956,,Fall,CVP
U110129CVP,2011-02-04 14:00,39,220,Fall / Late Fall,0.986,,Fall,CVP
U110130CVP,2011-02-05 14:00,45,220,Fall / Late Fall,1,,Fall,CVP
U110131CVP,2011-02-06 02:00,130,221,Fall / Late Fall,0.6,,Winter,CVP
U110132CVP,2011-02-06 20:00,40,222,Fall / Late Fall,0.967,,Fall,CVP
U110133CVP,2011-02-06 22:00,38,222,Fall / Late Fall,0.997,,Fall,CVP
U110134CVP,2011-02-08 20:00,39,224,Fall / Late Fall,0.999,,Fall,CVP
U110135CVP,2011-02-09 06:00,41,224,Fall / Late Fall,0.992,,Fall,CVP
U110137CVP,2011-02-09 18:00,45,225,Fall / Late Fall,1,,Fall,CVP
U110138CVP,2011-02-10 16:00,42,226,Fall / Late Fall,0.989,,Fall,CVP
U110139CVP,2011-02-10 20:00,44,225,Fall / Late Fall,1,,Fall,CVP
U110140CVP,2011-02-15 06:00,37,230,Fall / Late Fall,0.995,,Fall,CVP
U110141CVP,2011-02-16 10:00,45,231,Fall / Late Fall,0.997,,Fall,CVP
U110142CVP,2011-02-17 12:00,37,233,Fall / Late Fall,0.991,,Fall,CVP
U110143CVP,2011-02-17 14:00,39,232,Fall / Late Fall,0.792,,Fall,CVP
U110144CVP,2011-02-17 18:00,156,233,Winter,0.986,,Winter,CVP
U110146CVP,2011-02-18 06:00,37,233,Fall / Late Fall,0.951,,Fall,CVP
U110145CVP,2011-02-18 06:00,37,233,Fall / Late Fall,0.979,,Fall,CVP
U110147CVP,2011-02-19 22:00,165,235,Fall / Late Fall,0.964,,Winter,CVP
U110148CVP,2011-02-20 12:00,37,236,Fall / Late Fall,1,,Fall,CVP
U110149CVP,2011-02-20 20:00,140,235,Fall / Late Fall,0.936,,Winter,CVP
U110151CVP,2011-02-21 06:00,140,236,Fall / Late Fall,0.805,,Winter,CVP
U110153CVP,2011-02-21 12:00,35,237,Fall / Late Fall,0.986,,Fall,CVP
U110154CVP,2011-02-21 18:00,120,237,Winter,1,,Winter,CVP
U110158CVP,2011-02-22 08:00,145,237,Fall / Late Fall,0.969,,Winter,CVP
U110159CVP,2011-02-22 16:00,39,237,Fall / Late Fall,0.771,,Fall,CVP
U110160CVP,2011-02-22 16:00,131,237,Unassigned,0.508,,Winter,CVP
U110161CVP,2011-02-22 20:00,161,237,Winter,0.991,,Winter,CVP
U110162CVP,2011-02-22 20:00,133,238,Winter,1,,Winter,CVP
U110163CVP,2011-02-23 04:00,144,238,Fall / Late Fall,0.847,,Winter,CVP
U110166CVP,2011-02-23 06:00,145,238,Fall / Late Fall,0.927,,Winter,CVP
U110167CVP,2011-02-23 06:00,39,238,Fall / Late Fall,0.996,,Fall,CVP
U110171CVP,2011-02-23 11:59,176,238,Fall / Late Fall,0.965,,Winter,CVP
U110168CVP,2011-02-23 22:00,111,239,Winter,1,,Winter,CVP
U110169CVP,2011-02-23 22:00,131,239,Spring,0.8,,Winter,CVP
U110172CVP,2011-02-24 08:00,38,239,Fall / Late Fall,0.94,,Fall,CVP
U110173CVP,2011-02-24 18:00,124,239,Winter,0.998,,Winter,CVP
U110174CVP,2011-02-24 22:00,135,239,Fall / Late Fall,0.97,,Winter,CVP
U110175CVP,2011-02-24 22:00,129,240,Winter,1,,Winter,CVP
U110176CVP,2011-02-24 22:00,35,240,Fall / Late Fall,0.988,,Fall,CVP
U110177CVP,2011-02-25 14:00,37,240,Fall / Late Fall,0.949,,Fall,CVP
U110178CVP,2011-02-25 14:00,38,240,Fall / Late Fall,0.982,,Fall,CVP
U110179CVP,2011-02-26 18:00,105,242,Winter,1,,Winter,CVP
U110181CVP,2011-02-27 02:00,141,242,Fall / Late Fall,0.905,,Winter,CVP
U110182CVP,2011-02-27 12:00,36,242,Fall / Late Fall,0.983,,Fall,CVP
U110183CVP,2011-02-28 06:00,41,243,Spring,0.739,,Fall,CVP
U110184CVP,2011-02-28 08:00,37,243,Fall / Late Fall,0.999,,Fall,CVP
U110188CVP,2011-03-01 02:00,35,244,Fall / Late Fall,0.998,,Fall,CVP
U110189CVP,2011-03-01 04:00,120,244,Spring,0.768,,Winter,CVP
U110190CVP,2011-03-01 04:00,37,244,Fall / Late Fall,0.989,,Fall,CVP
U110191CVP,2011-03-01 06:00,146,244,Fall / Late Fall,0.772,,Winter,CVP
U110193CVP,2011-03-01 08:00,41,244,Fall / Late Fall,1,,Fall,CVP
U110194CVP,2011-03-02 02:00,121,245,Spring,0.79,,Winter,CVP
U110195CVP,2011-03-02 06:00,53,245,Fall / Late Fall,1,,Fall,CVP
U110196CVP,2011-03-02 06:00,37,245,Fall / Late Fall,0.96,,Fall,CVP
U110199CVP,2011-03-03 14:00,147,247,Spring,0.992,,Winter,CVP
U110200CVP,2011-03-03 14:00,124,247,Winter,1,,Winter,CVP
U110203CVP,2011-03-03 22:00,157,247,Fall / Late Fall,0.991,,Winter,CVP
U110206CVP,2011-03-04 16:00,125,247,Winter,1,,Winter,CVP
U110207CVP,2011-03-04 18:00,39,248,Fall / Late Fall,0.997,,Fall,CVP
U110208CVP,2011-03-04 20:00,128,247,Winter,1,,Winter,CVP
U110210CVP,2011-03-05 14:00,60,248,Fall / Late Fall,0.97,,Fall,CVP
U110211CVP,2011-03-05 18:00,129,248,Spring,0.706,,Winter,CVP
U110212CVP,2011-03-06 02:00,130,249,Winter,0.999,,Winter,CVP
U110213CVP,2011-03-06 06:00,120,249,Fall / Late Fall,0.76,,Winter,CVP
U110214CVP,2011-03-06 06:00,127,249,Winter,1,,Winter,CVP
U110215CVP,2011-03-06 08:00,136,249,Winter,1,,Winter,CVP
U110217CVP,2011-03-07 04:00,130,250,Winter,1,,Winter,CVP
U110216CVP,2011-03-07 04:00,140,250,Winter,1,,Winter,CVP
U110218CVP,2011-03-07 06:00,150,250,Winter,0.992,,Winter,CVP
U110220CVP,2011-03-07 08:00,117,250,Fall / Late Fall,0.776,,Winter,CVP
U110221CVP,2011-03-07 12:00,138,251,Fall / Late Fall,0.958,,Winter,CVP
U110222CVP,2011-03-08 00:00,150,251,Winter,1,,Winter,CVP
U110223CVP,2011-03-08 14:00,137,252,Fall / Late Fall,0.968,,Winter,CVP
U110224CVP,2011-03-08 14:00,146,252,Winter,1,,Winter,CVP
U110225CVP,2011-03-09 04:00,120,252,Winter,0.997,,Winter,CVP
U110226CVP,2011-03-09 08:00,72,252,Fall / Late Fall,0.996,,Spring,CVP
U110229CVP,2011-03-09 16:00,130,253,Winter,1,,Winter,CVP
U110232CVP,2011-03-10 00:00,160,253,Winter,0.965,,Winter,CVP
U110236CVP,2011-03-10 00:00,65,253,Fall / Late Fall,1,,Spring,CVP
U110230CVP,2011-03-10 06:00,100,253,Fall / Late Fall,0.53,,Spring,CVP
U110233CVP,2011-03-10 14:25,141,254,Spring,0.891,,Winter,CVP
U110235CVP,2011-03-10 18:00,134,253,Winter,1,,Winter,CVP
U110237CVP,2011-03-11 00:00,137,254,Fall / Late Fall,0.775,,Winter,CVP
U110239CVP,2011-03-11 00:00,116,254,Winter,1,,Winter,CVP
U110246CVP,2011-03-11 00:00,155,254,Winter,1,,Winter,CVP
U110238CVP,2011-03-11 06:00,140,254,Fall / Late Fall,0.979,,Winter,CVP
U110241CVP,2011-03-11 20:00,138,255,Unassigned,0.534,,Winter,CVP
U110247CVP,2011-03-11 23:30,150,254,Spring,0.686,,Winter,CVP
U110248CVP,2011-03-12 02:00,68,255,Winter,0.999,,Spring,CVP
U110249CVP,2011-03-12 06:00,136,255,Winter,1,,Winter,CVP
U110250CVP,2011-03-12 08:00,150,255,Fall / Late Fall,0.519,,Winter,CVP
U110251CVP,2011-03-12 10:00,111,255,Winter,1,,Winter,CVP
U110252CVP,2011-03-12 10:00,140,255,Fall / Late Fall,0.695,,Winter,CVP
U110253CVP,2011-03-12 16:00,138,256,Fall / Late Fall,0.777,,Winter,CVP
U110254CVP,2011-03-12 18:30,125,255,Unassigned,0.516,,Winter,CVP
U110258CVP,2011-03-12 19:00,146,255,Winter,1,,Winter,CVP
U110259CVP,2011-03-12 19:30,141,255,Winter,1,,Winter,CVP
U110260CVP,2011-03-12 19:30,152,255,Fall / Late Fall,0.836,,Winter,CVP
U110261CVP,2011-03-12 23:00,137,255,Winter,1,,Winter,CVP
U110262CVP,2011-03-13 02:00,135,256,Winter,1,,Winter,CVP
U110263CVP,2011-03-13 02:00,126,256,Winter,1,,Winter,CVP
U110265CVP,2011-03-13 04:00,145,256,Winter,1,,Winter,CVP
U110266CVP,2011-03-13 06:00,127,256,Winter,1,,Winter,CVP
U110267CVP,2011-03-13 08:00,111,256,Spring,0.884,,Winter,CVP
U110269CVP,2011-03-13 20:00,125,257,Winter,1,,Winter,CVP
U110270CVP,2011-03-13 20:00,155,256,Fall / Late Fall,0.953,,Winter,CVP
U110272CVP,2011-03-14 02:00,150,257,Fall / Late Fall,0.974,,Winter,CVP
U110274CVP,2011-03-14 04:00,135,257,Winter,1,,Winter,CVP
U110275CVP,2011-03-14 04:00,134,257,Spring,0.858,,Winter,CVP
U110273CVP,2011-03-14 04:00,97,257,Fall / Late Fall,0.886,,Spring,CVP
U110276CVP,2011-03-14 06:00,95,257,Fall / Late Fall,0.929,,Spring,CVP
U110277CVP,2011-03-14 10:00,140,257,Winter,1,,Winter,CVP
U110278CVP,2011-03-14 14:00,141,257,Winter,0.998,,Winter,CVP
U110279CVP,2011-03-14 14:00,141,257,Fall / Late Fall,0.919,,Winter,CVP
U110282CVP,2011-03-15 02:00,130,258,Winter,1,,Winter,CVP
U110283CVP,2011-03-15 02:00,151,258,Fall / Late Fall,0.927,,Winter,CVP
U110284CVP,2011-03-15 04:00,142,258,Winter,1,,Winter,CVP
U110285CVP,2011-03-15 04:00,134,258,Winter,1,,Winter,CVP
U110286CVP,2011-03-15 14:55,129,258,Fall / Late Fall,0.828,,Winter,CVP
U110287CVP,2011-03-15 16:00,142,259,Spring,0.97,,Winter,CVP
U110288CVP,2011-03-15 16:00,136,258,Winter,0.995,,Winter,CVP
U110289CVP,2011-03-15 16:00,150,259,Winter,1,,Winter,CVP
U110290CVP,2011-03-16 04:00,110,259,Winter,1,,Winter,CVP
U110291CVP,2011-03-16 12:00,131,259,Winter,1,,Winter,CVP
U110292CVP,2011-03-16 20:00,141,259,Fall / Late Fall,0.841,,Winter,CVP
U110293CVP,2011-03-17 02:00,107,260,Fall / Late Fall,0.959,,Winter,CVP
U110294CVP,2011-03-17 04:00,160,260,Fall / Late Fall,0.946,,Winter,CVP
U110295CVP,2011-03-17 08:00,138,260,Winter,1,,Winter,CVP
U110296CVP,2011-03-17 22:00,67,261,Fall / Late Fall,1,,Spring,CVP
U110297CVP,2011-03-18 02:00,91,261,Fall / Late Fall,0.997,,Spring,CVP
U110298CVP,2011-03-18 04:00,135,261,Winter,1,,Winter,CVP
U110299CVP,2011-03-18 04:00,85,261,Fall / Late Fall,0.974,,Spring,CVP
U110300CVP,2011-03-19 02:00,144,262,Winter,0.999,,Winter,CVP
U110301CVP,2011-03-19 04:00,135,262,Fall / Late Fall,0.851,,Winter,CVP
U110302CVP,2011-03-19 04:00,135,262,Winter,0.999,,Winter,CVP
U110303CVP,2011-03-19 06:00,140,262,Winter,1,,Winter,CVP
U110304CVP,2011-03-19 06:00,142,262,Winter,0.998,,Winter,CVP
U110305CVP,2011-03-19 06:00,90,262,Fall / Late Fall,0.994,,Spring,CVP
U110306CVP,2011-03-19 20:00,175,263,Fall / Late Fall,0.996,,Winter,CVP
U110307CVP,2011-03-19 20:00,138,263,Winter,1,,Winter,CVP
U110308CVP,2011-03-19 20:00,137,263,Winter,1,,Winter,CVP
U110309CVP,2011-03-19 20:00,160,263,Fall / Late Fall,0.958,,Winter,CVP
U110310CVP,2011-03-19 20:00,141,263,Winter,1,,Winter,CVP
U110311CVP,2011-03-20 02:00,135,263,Winter,1,,Winter,CVP
U110312CVP,2011-03-20 02:00,141,263,Fall / Late Fall,0.979,,Winter,CVP
U110313CVP,2011-03-20 04:00,144,263,Spring,0.624,,Winter,CVP
U110314CVP,2011-03-20 06:00,115,263,Fall / Late Fall,0.968,,Winter,CVP
U110315CVP,2011-03-20 08:00,107,263,Winter,1,,Spring,CVP
U110316CVP,2011-03-20 08:00,76,263,Fall / Late Fall,0.955,,Spring,CVP
U110324CVP,2011-03-20 20:00,145,264,Fall / Late Fall,0.99,,Winter,CVP
U110318CVP,2011-03-21 04:00,145,264,Fall / Late Fall,0.559,,Winter,CVP
U110319CVP,2011-03-21 06:00,173,264,Spring,0.822,,Winter,CVP
U110320CVP,2011-03-21 06:00,156,264,Fall / Late Fall,0.922,,Winter,CVP
U110321CVP,2011-03-21 22:00,120,265,Winter,1,,Winter,CVP
U110322CVP,2011-03-22 04:00,143,265,Fall / Late Fall,0.894,,Winter,CVP
U110323CVP,2011-03-22 04:00,130,265,Winter,1,,Winter,CVP
U110325CVP,2011-03-22 20:00,137,266,Winter,1,,Winter,CVP
U110326CVP,2011-03-22 20:00,142,266,Fall / Late Fall,0.993,,Winter,CVP
U110327CVP,2011-03-22 20:00,166,265,Fall / Late Fall,0.983,,Winter,CVP
U110328CVP,2011-03-22 20:00,148,266,Fall / Late Fall,0.739,,Winter,CVP
U110330CVP,2011-03-22 20:00,210,266,Fall / Late Fall,0.997,,Winter,CVP
U110329CVP,2011-03-22 20:00,105,266,Fall / Late Fall,0.979,,Spring,CVP
U110332CVP,2011-03-22 23:59,145,266,Fall / Late Fall,0.711,,Winter,CVP
U110333CVP,2011-03-22 23:59,151,266,Spring,0.549,,Winter,CVP
U110334CVP,2011-03-23 02:00,184,266,Fall / Late Fall,0.979,,Winter,CVP
U110335CVP,2011-03-23 02:00,168,266,Fall / Late Fall,0.992,,Winter,CVP
U110336CVP,2011-03-23 02:00,159,266,Fall / Late Fall,0.9,,Winter,CVP
U110337CVP,2011-03-23 02:00,106,266,Spring,0.644,,Spring,CVP
U110338CVP,2011-03-23 02:00,76,266,Fall / Late Fall,1,,Spring,CVP
U110339CVP,2011-03-23 02:00,80,266,Fall / Late Fall,0.999,,Spring,CVP
U110340CVP,2011-03-23 06:00,92,266,Fall / Late Fall,1,,Spring,CVP
U110342CVP,2011-03-23 06:00,154,266,Winter,1,,Winter,CVP
U110341CVP,2011-03-23 06:00,93,266,Fall / Late Fall,1,,Spring,CVP
U110348CVP,2011-03-23 08:00,124,266,Winter,1,,Winter,CVP
U110344CVP,2011-03-23 08:00,92,266,Fall / Late Fall,1,,Spring,CVP
