Year,Survey,Date,Station,Net,AlphaCode,SizeGroup,Length,Frequency,PlusCount,Comments,TowArea,TowVolume
2025,1,2025-01-13T00:00:00Z,215,2,LONSME,0,63,1,NA,NA,1267.600019,NA
2025,1,2025-01-13T00:00:00Z,243,1,LONSME,0,55,1,NA,NA,NA,5541.85
2025,1,2025-01-13T00:00:00Z,243,1,LONSME,0,64,2,NA,NA,NA,5541.85
2025,1,2025-01-13T00:00:00Z,243,1,LONSME,0,65,1,NA,NA,NA,5541.85
2025,1,2025-01-13T00:00:00Z,243,1,LONSME,0,66,1,NA,NA,NA,5541.85
2025,1,2025-01-13T00:00:00Z,243,1,LONSME,0,63,1,NA,"Retowed, 1 Longfin Smelt ESA",NA,5541.85
2025,1,2025-01-09T00:00:00Z,317,1,LONSME,0,66,1,NA,NA,NA,7213.95
2025,1,2025-01-09T00:00:00Z,317,1,LONSME,0,71,1,NA,NA,NA,7213.95
2025,1,2025-01-09T00:00:00Z,319,2,LONSME,0,61,1,NA,Added 10/17/25,1330.979958,NA
2025,1,2025-01-09T00:00:00Z,319,2,LONSME,0,72,1,NA,Added 10/17/25,1330.979958,NA
2025,1,2025-01-09T00:00:00Z,320,2,LONSME,0,64,1,NA,NA,1014.079977,NA
2025,1,2025-01-09T00:00:00Z,320,2,LONSME,0,78,1,NA,NA,1014.079977,NA
2025,1,2025-01-09T00:00:00Z,321,1,LONSME,0,55,1,NA,NA,NA,5623.5
2025,1,2025-01-09T00:00:00Z,321,1,LONSME,0,57,1,NA,NA,NA,5623.5
2025,1,2025-01-09T00:00:00Z,321,1,LONSME,0,61,1,NA,NA,NA,5623.5
2025,1,2025-01-09T00:00:00Z,321,1,LONSME,0,64,1,NA,NA,NA,5623.5
2025,1,2025-01-09T00:00:00Z,321,2,LONSME,0,60,1,NA,NA,760.559983,NA
2025,1,2025-01-09T00:00:00Z,321,2,LONSME,0,61,1,NA,NA,760.559983,NA
2025,1,2025-01-09T00:00:00Z,321,2,LONSME,0,63,1,NA,NA,760.559983,NA
2025,1,2025-01-09T00:00:00Z,322,2,LONSME,0,57,1,NA,NA,633.8000094,NA
2025,1,2025-01-09T00:00:00Z,322,2,LONSME,0,58,3,NA,NA,633.8000094,NA
2025,1,2025-01-09T00:00:00Z,322,2,LONSME,0,59,3,NA,NA,633.8000094,NA
2025,1,2025-01-09T00:00:00Z,322,2,LONSME,0,61,2,NA,NA,633.8000094,NA
2025,1,2025-01-09T00:00:00Z,322,2,LONSME,0,62,1,NA,NA,633.8000094,NA
2025,1,2025-01-09T00:00:00Z,322,2,LONSME,0,63,4,NA,NA,633.8000094,NA
2025,1,2025-01-09T00:00:00Z,322,2,LONSME,0,66,2,NA,NA,633.8000094,NA
2025,1,2025-01-09T00:00:00Z,322,2,LONSME,0,67,1,NA,NA,633.8000094,NA
2025,1,2025-01-09T00:00:00Z,322,2,LONSME,0,68,1,NA,NA,633.8000094,NA
2025,1,2025-01-09T00:00:00Z,322,2,LONSME,0,73,1,NA,NA,633.8000094,NA
2025,1,2025-01-09T00:00:00Z,322,2,LONSME,0,82,1,NA,NA,633.8000094,NA
2025,1,2025-01-09T00:00:00Z,325,2,LONSME,0,59,1,NA,NA,697.1799962,NA
2025,1,2025-01-09T00:00:00Z,325,2,LONSME,0,60,1,NA,NA,697.1799962,NA
2025,1,2025-01-09T00:00:00Z,325,2,LONSME,0,62,1,NA,NA,697.1799962,NA
2025,1,2025-01-09T00:00:00Z,325,2,LONSME,0,63,1,NA,NA,697.1799962,NA
2025,1,2025-01-09T00:00:00Z,325,2,LONSME,0,64,2,NA,NA,697.1799962,NA
2025,1,2025-01-09T00:00:00Z,325,2,LONSME,0,70,2,NA,NA,697.1799962,NA
2025,1,2025-01-09T00:00:00Z,325,2,LONSME,0,77,1,NA,NA,697.1799962,NA
2025,1,2025-01-09T00:00:00Z,345,1,LONSME,0,58,1,NA,NA,NA,2796.5125
2025,1,2025-01-09T00:00:00Z,345,1,LONSME,0,65,1,NA,NA,NA,2796.5125
2025,1,2025-01-09T00:00:00Z,345,1,LONSME,0,77,1,NA,NA,NA,2796.5125
2025,1,2025-01-09T00:00:00Z,345,2,LONSME,0,66,1,NA,NA,443.6600019,NA
2025,1,2025-01-09T00:00:00Z,346,1,LONSME,0,58,1,NA,NA,NA,6936.8
2025,1,2025-01-09T00:00:00Z,346,1,LONSME,0,60,2,NA,NA,NA,6936.8
2025,1,2025-01-09T00:00:00Z,346,1,LONSME,0,61,1,NA,NA,NA,6936.8
2025,1,2025-01-09T00:00:00Z,346,1,LONSME,0,62,2,NA,NA,NA,6936.8
2025,1,2025-01-09T00:00:00Z,346,1,LONSME,0,63,2,NA,NA,NA,6936.8
2025,1,2025-01-09T00:00:00Z,346,1,LONSME,0,65,2,NA,NA,NA,6936.8
2025,1,2025-01-09T00:00:00Z,346,1,LONSME,0,66,1,NA,NA,NA,6936.8
2025,1,2025-01-09T00:00:00Z,346,1,LONSME,0,67,2,NA,NA,NA,6936.8
2025,1,2025-01-09T00:00:00Z,346,1,LONSME,0,68,1,NA,NA,NA,6936.8
2025,1,2025-01-09T00:00:00Z,346,1,LONSME,0,91,1,NA,NA,NA,6936.8
2025,1,2025-01-09T00:00:00Z,346,1,LONSME,0,111,1,NA,NA,NA,6936.8
2025,1,2025-01-08T00:00:00Z,427,1,LONSME,0,56,1,NA,NA,NA,2731.825
2025,1,2025-01-08T00:00:00Z,427,1,LONSME,0,60,2,NA,NA,NA,2731.825
2025,1,2025-01-08T00:00:00Z,427,1,LONSME,0,62,1,NA,NA,NA,2731.825
2025,1,2025-01-08T00:00:00Z,427,1,LONSME,0,68,1,NA,NA,NA,2731.825
2025,1,2025-01-08T00:00:00Z,427,1,LONSME,0,69,1,NA,NA,NA,2731.825
2025,1,2025-01-08T00:00:00Z,427,1,LONSME,0,70,1,NA,NA,NA,2731.825
2025,1,2025-01-08T00:00:00Z,427,1,LONSME,0,71,2,NA,NA,NA,2731.825
2025,1,2025-01-08T00:00:00Z,427,1,LONSME,0,73,1,NA,NA,NA,2731.825
2025,1,2025-01-08T00:00:00Z,427,1,LONSME,0,74,2,NA,NA,NA,2731.825
2025,1,2025-01-08T00:00:00Z,427,1,LONSME,0,77,1,NA,NA,NA,2731.825
2025,1,2025-01-08T00:00:00Z,427,1,LONSME,0,80,1,NA,NA,NA,2731.825
2025,1,2025-01-08T00:00:00Z,427,1,LONSME,0,83,2,NA,NA,NA,2731.825
2025,1,2025-01-08T00:00:00Z,427,2,LONSME,0,79,1,NA,NA,2091.540083,NA
2025,1,2025-01-08T00:00:00Z,428,1,LONSME,0,62,1,NA,NA,NA,4531.575
2025,1,2025-01-08T00:00:00Z,428,1,LONSME,0,63,1,NA,NA,NA,4531.575
2025,1,2025-01-08T00:00:00Z,428,1,LONSME,0,67,2,NA,NA,NA,4531.575
2025,1,2025-01-08T00:00:00Z,428,1,LONSME,0,68,1,NA,NA,NA,4531.575
2025,1,2025-01-08T00:00:00Z,428,1,LONSME,0,69,2,NA,NA,NA,4531.575
2025,1,2025-01-08T00:00:00Z,428,1,LONSME,0,71,1,NA,NA,NA,4531.575
2025,1,2025-01-08T00:00:00Z,428,1,LONSME,0,77,1,NA,NA,NA,4531.575
2025,1,2025-01-08T00:00:00Z,428,1,LONSME,0,105,1,NA,NA,NA,4531.575
2025,1,2025-01-08T00:00:00Z,428,1,LONSME,0,119,1,NA,NA,NA,4531.575
2025,1,2025-01-08T00:00:00Z,429,1,LONSME,0,74,1,NA,NA,NA,5044.1875
2025,1,2025-01-08T00:00:00Z,430,1,LONSME,0,66,1,NA,NA,NA,7296.175
2025,1,2025-01-08T00:00:00Z,432,1,LONSME,0,56,1,NA,NA,NA,4579.0125
2025,1,2025-01-08T00:00:00Z,432,1,LONSME,0,67,1,NA,NA,NA,4579.0125
2025,1,2025-01-08T00:00:00Z,432,1,LONSME,0,69,1,NA,NA,NA,4579.0125
2025,1,2025-01-08T00:00:00Z,432,1,LONSME,0,70,1,NA,NA,NA,4579.0125
2025,1,2025-01-08T00:00:00Z,432,1,LONSME,0,71,1,NA,NA,NA,4579.0125
2025,1,2025-01-08T00:00:00Z,432,1,LONSME,0,72,1,NA,NA,NA,4579.0125
2025,1,2025-01-08T00:00:00Z,432,1,LONSME,0,74,1,NA,NA,NA,4579.0125
2025,1,2025-01-08T00:00:00Z,432,1,LONSME,0,76,1,NA,NA,NA,4579.0125
2025,1,2025-01-08T00:00:00Z,432,1,LONSME,0,82,1,NA,NA,NA,4579.0125
2025,1,2025-01-08T00:00:00Z,432,1,LONSME,0,90,1,NA,NA,NA,4579.0125
2025,1,2025-01-08T00:00:00Z,432,2,LONSME,0,79,1,NA,"Retowed, 1 Longfin Smelt ESA",1838.019947,NA
2025,1,2025-01-08T00:00:00Z,433,1,LONSME,0,93,1,NA,NA,NA,6499.225
2025,1,2025-01-08T00:00:00Z,433,1,LONSME,0,99,1,NA,NA,NA,6499.225
2025,1,2025-01-08T00:00:00Z,535,2,LONSME,0,118,1,NA,NA,443.6600019,NA
2025,2,2025-02-11T00:00:00Z,108,1,LONSME,0,63,1,NA,NA,NA,7408.3
2025,2,2025-02-11T00:00:00Z,108,1,LONSME,0,67,1,NA,NA,NA,7408.3
2025,2,2025-02-11T00:00:00Z,108,1,LONSME,0,69,1,NA,NA,NA,7408.3
2025,2,2025-02-11T00:00:00Z,108,1,LONSME,0,70,1,NA,NA,NA,7408.3
2025,2,2025-02-11T00:00:00Z,108,2,LONSME,0,54,1,NA,NA,1521.119966,NA
2025,2,2025-02-11T00:00:00Z,108,2,LONSME,0,61,2,NA,NA,1521.119966,NA
2025,2,2025-02-11T00:00:00Z,108,2,LONSME,0,62,1,NA,NA,1521.119966,NA
2025,2,2025-02-11T00:00:00Z,108,2,LONSME,0,65,1,NA,NA,1521.119966,NA
2025,2,2025-02-11T00:00:00Z,108,2,LONSME,0,65,1,NA,NA,1521.119966,NA
2025,2,2025-02-11T00:00:00Z,108,2,LONSME,0,66,1,NA,NA,1521.119966,NA
2025,2,2025-02-11T00:00:00Z,108,2,LONSME,0,68,1,NA,NA,1521.119966,NA
2025,2,2025-02-11T00:00:00Z,108,2,LONSME,0,70,2,NA,"Added 1 at 70, 10/17/25",1521.119966,NA
2025,2,2025-02-11T00:00:00Z,108,2,LONSME,0,72,1,NA,NA,1521.119966,NA
2025,2,2025-02-11T00:00:00Z,108,2,LONSME,0,73,1,NA,NA,1521.119966,NA
2025,2,2025-02-11T00:00:00Z,108,2,LONSME,0,73,1,NA,NA,1521.119966,NA
2025,2,2025-02-11T00:00:00Z,108,2,LONSME,0,80,1,NA,NA,1521.119966,NA
2025,2,2025-02-11T00:00:00Z,108,2,LONSME,0,103,1,NA,NA,1521.119966,NA
2025,2,2025-02-11T00:00:00Z,110,2,LONSME,0,76,1,NA,NA,507.0399887,NA
2025,2,2025-02-10T00:00:00Z,211,2,LONSME,0,77,1,NA,NA,633.8000094,NA
2025,2,2025-02-10T00:00:00Z,213,2,LONSME,0,70,1,NA,NA,633.8000094,NA
2025,2,2025-02-10T00:00:00Z,213,2,LONSME,0,75,1,NA,NA,633.8000094,NA
2025,2,2025-02-10T00:00:00Z,213,2,LONSME,0,79,1,NA,NA,633.8000094,NA
2025,2,2025-02-10T00:00:00Z,214,2,LONSME,0,110,1,NA,NA,1140.840045,NA
2025,2,2025-02-10T00:00:00Z,216,1,LONSME,0,68,1,NA,NA,NA,1970.2375
2025,2,2025-02-10T00:00:00Z,216,2,LONSME,0,75,1,NA,NA,1901.400076,NA
2025,2,2025-02-10T00:00:00Z,243,2,LONSME,0,61,1,NA,NA,1267.600019,NA
2025,2,2025-02-10T00:00:00Z,243,2,LONSME,0,66,1,NA,NA,1267.600019,NA
2025,2,2025-02-10T00:00:00Z,243,2,LONSME,0,68,1,NA,NA,1267.600019,NA
2025,2,2025-02-10T00:00:00Z,243,2,LONSME,0,72,1,NA,NA,1267.600019,NA
2025,2,2025-02-06T00:00:00Z,317,1,LONSME,0,66,1,NA,NA,NA,6315.5125
2025,2,2025-02-06T00:00:00Z,317,1,LONSME,0,67,1,NA,NA,NA,6315.5125
2025,2,2025-02-06T00:00:00Z,317,1,LONSME,0,72,1,NA,NA,NA,6315.5125
2025,2,2025-02-06T00:00:00Z,317,1,LONSME,0,79,1,NA,NA,NA,6315.5125
2025,2,2025-02-06T00:00:00Z,318,2,LONSME,0,75,1,NA,NA,1014.079977,NA
2025,2,2025-02-06T00:00:00Z,318,2,LONSME,0,77,1,NA,NA,1014.079977,NA
2025,2,2025-02-06T00:00:00Z,318,2,LONSME,0,81,1,NA,NA,1014.079977,NA
2025,2,2025-02-06T00:00:00Z,318,2,LONSME,0,110,1,NA,NA,1014.079977,NA
2025,2,2025-02-06T00:00:00Z,320,2,LONSME,0,62,1,NA,NA,1330.979958,NA
2025,2,2025-02-06T00:00:00Z,320,2,LONSME,0,80,1,NA,NA,1330.979958,NA
2025,2,2025-02-06T00:00:00Z,321,1,LONSME,0,72,1,NA,NA,NA,6886.4875
2025,2,2025-02-06T00:00:00Z,321,1,LONSME,0,73,1,NA,NA,NA,6886.4875
2025,2,2025-02-06T00:00:00Z,321,1,LONSME,0,80,1,NA,NA,NA,6886.4875
2025,2,2025-02-06T00:00:00Z,321,1,LONSME,0,81,1,NA,NA,NA,6886.4875
2025,2,2025-02-06T00:00:00Z,322,1,LONSME,0,67,1,NA,NA,NA,5252.3375
2025,2,2025-02-06T00:00:00Z,323,1,LONSME,0,67,1,NA,NA,NA,6536.6
2025,2,2025-02-06T00:00:00Z,323,1,LONSME,0,75,1,NA,NA,NA,6536.6
2025,2,2025-02-06T00:00:00Z,323,1,LONSME,0,84,1,NA,NA,NA,6536.6
2025,2,2025-02-06T00:00:00Z,323,1,LONSME,0,102,1,NA,NA,NA,6536.6
2025,2,2025-02-06T00:00:00Z,325,2,LONSME,0,60,1,NA,NA,760.559983,NA
2025,2,2025-02-06T00:00:00Z,325,2,LONSME,0,66,1,NA,NA,760.559983,NA
2025,2,2025-02-06T00:00:00Z,345,1,LONSME,0,62,1,NA,NA,NA,9264.6875
2025,2,2025-02-06T00:00:00Z,345,1,LONSME,0,63,1,NA,NA,NA,9264.6875
2025,2,2025-02-06T00:00:00Z,345,1,LONSME,0,71,1,NA,NA,NA,9264.6875
2025,2,2025-02-06T00:00:00Z,345,1,LONSME,0,73,1,NA,NA,NA,9264.6875
2025,2,2025-02-06T00:00:00Z,345,1,LONSME,0,80,1,NA,NA,NA,9264.6875
2025,2,2025-02-06T00:00:00Z,345,1,LONSME,0,82,1,NA,NA,NA,9264.6875
2025,2,2025-02-06T00:00:00Z,345,1,LONSME,0,83,1,NA,NA,NA,9264.6875
2025,2,2025-02-06T00:00:00Z,346,1,LONSME,0,62,1,NA,NA,NA,9277.625
2025,2,2025-02-06T00:00:00Z,346,1,LONSME,0,67,1,NA,NA,NA,9277.625
2025,2,2025-02-06T00:00:00Z,346,1,LONSME,0,68,1,NA,NA,NA,9277.625
2025,2,2025-02-06T00:00:00Z,346,1,LONSME,0,69,1,NA,NA,NA,9277.625
2025,2,2025-02-06T00:00:00Z,346,1,LONSME,0,86,1,NA,NA,NA,9277.625
2025,2,2025-02-06T00:00:00Z,346,1,LONSME,0,110,1,NA,NA,NA,9277.625
2025,2,2025-02-06T00:00:00Z,346,1,LONSME,0,111,1,NA,NA,NA,9277.625
2025,2,2025-02-06T00:00:00Z,346,2,LONSME,0,72,1,NA,NA,1521.119966,NA
2025,2,2025-02-06T00:00:00Z,346,2,LONSME,0,83,1,NA,NA,1521.119966,NA
2025,2,2025-02-06T00:00:00Z,346,2,LONSME,0,112,1,NA,NA,1521.119966,NA
2025,2,2025-02-05T00:00:00Z,427,1,LONSME,0,67,1,NA,NA,NA,5823.8875
2025,2,2025-02-05T00:00:00Z,428,1,LONSME,0,86,1,NA,NA,NA,5139.0625
2025,2,2025-02-05T00:00:00Z,429,1,LONSME,0,86,1,NA,NA,NA,5177.3
2025,2,2025-02-05T00:00:00Z,429,1,LONSME,0,87,1,NA,NA,NA,5177.3
2025,2,2025-02-05T00:00:00Z,429,1,LONSME,0,90,1,NA,NA,NA,5177.3
2025,2,2025-02-05T00:00:00Z,429,1,LONSME,0,101,1,NA,NA,NA,5177.3
2025,2,2025-02-05T00:00:00Z,430,1,LONSME,0,78,1,NA,NA,NA,6865.7875
2025,2,2025-02-05T00:00:00Z,430,1,LONSME,0,79,1,NA,NA,NA,6865.7875
2025,2,2025-02-05T00:00:00Z,432,1,LONSME,0,72,1,NA,NA,NA,5652.25
2025,2,2025-02-05T00:00:00Z,432,1,LONSME,0,73,1,NA,NA,NA,5652.25
2025,2,2025-02-05T00:00:00Z,432,1,LONSME,0,77,1,NA,NA,NA,5652.25
2025,2,2025-02-05T00:00:00Z,432,1,LONSME,0,79,1,NA,NA,NA,5652.25
2025,2,2025-02-05T00:00:00Z,432,1,LONSME,0,81,1,NA,NA,NA,5652.25
2025,2,2025-02-05T00:00:00Z,447,1,LONSME,0,80,1,NA,NA,NA,6196.2
2025,2,2025-02-05T00:00:00Z,447,1,LONSME,0,83,1,NA,NA,NA,6196.2
2025,2,2025-02-05T00:00:00Z,535,1,LONSME,0,83,1,NA,NA,NA,5768.975
2025,2,2025-02-05T00:00:00Z,535,1,LONSME,0,84,1,NA,NA,NA,5768.975
2025,2,2025-02-05T00:00:00Z,535,2,LONSME,0,87,1,NA,NA,697.1799962,NA
2025,2,2025-02-04T00:00:00Z,750,1,LONSME,0,76,1,NA,NA,NA,7667.05
2025,3,2025-03-13T00:00:00Z,101,2,LONSME,0,78,1,NA,Corrected net 10/17/25,443.6600019,NA
2025,3,2025-03-11T00:00:00Z,108,2,LONSME,0,70,1,NA,NA,1077.460011,NA
2025,3,2025-03-11T00:00:00Z,108,2,LONSME,0,75,1,NA,NA,1077.460011,NA
2025,3,2025-03-11T00:00:00Z,108,2,LONSME,0,76,1,NA,NA,1077.460011,NA
2025,3,2025-03-11T00:00:00Z,108,2,LONSME,0,81,1,NA,NA,1077.460011,NA
2025,3,2025-03-10T00:00:00Z,216,2,LONSME,0,63,1,NA,NA,1140.840045,NA
2025,3,2025-03-06T00:00:00Z,318,1,LONSME,0,78,1,NA,NA,NA,6210.8625
2025,3,2025-03-06T00:00:00Z,320,1,LONSME,0,67,1,NA,NA,NA,6433.1
2025,3,2025-03-06T00:00:00Z,320,1,LONSME,0,76,1,NA,NA,NA,6433.1
2025,3,2025-03-06T00:00:00Z,320,1,LONSME,0,78,1,NA,NA,NA,6433.1
2025,3,2025-03-06T00:00:00Z,321,1,LONSME,0,83,1,NA,NA,NA,6503.5375
2025,3,2025-03-06T00:00:00Z,321,1,LONSME,0,99,1,NA,NA,NA,6503.5375
2025,3,2025-03-06T00:00:00Z,322,1,LONSME,0,76,1,NA,NA,NA,6767.75
2025,3,2025-03-06T00:00:00Z,322,1,LONSME,0,79,1,NA,NA,NA,6767.75
2025,3,2025-03-06T00:00:00Z,325,1,LONSME,0,67,1,NA,NA,NA,4328.6
2025,3,2025-03-06T00:00:00Z,325,1,LONSME,0,77,1,NA,NA,NA,4328.6
2025,3,2025-03-06T00:00:00Z,325,1,LONSME,0,80,1,NA,NA,NA,4328.6
2025,3,2025-03-06T00:00:00Z,325,2,LONSME,0,66,1,NA,NA,1774.640008,NA
2025,3,2025-03-06T00:00:00Z,345,1,LONSME,0,74,1,NA,NA,NA,4039.375
2025,3,2025-03-06T00:00:00Z,346,1,LONSME,0,63,1,NA,NA,NA,2700.4875
2025,3,2025-03-06T00:00:00Z,346,1,LONSME,0,87,1,NA,NA,NA,2700.4875
2025,3,2025-03-05T00:00:00Z,429,1,LONSME,0,91,1,NA,NA,NA,5088.175
2025,3,2025-03-05T00:00:00Z,432,1,LONSME,0,96,1,NA,NA,NA,5373.0875
2025,3,2025-03-05T00:00:00Z,433,2,LONSME,0,89,1,NA,NA,760.559983,NA
2025,3,2025-03-05T00:00:00Z,447,1,LONSME,0,73,1,NA,"Retowed, 1 Longfin Smelt ESA",NA,7106.425
2025,3,2025-03-05T00:00:00Z,535,2,LONSME,0,105,1,NA,NA,1077.460011,NA
2025,3,2025-03-04T00:00:00Z,751,2,LONSME,0,84,1,NA,NA,570.4200227,NA
2025,4,2025-04-21T00:00:00Z,345,1,LONSME,0,40,1,NA,NA,NA,2611.9375
2025,4,2025-04-21T00:00:00Z,346,2,LONSME,0,43,1,NA,NA,1014.079977,NA
2025,4,2025-04-17T00:00:00Z,427,1,LONSME,8,20,2,NA,NA,NA,6139.85
2025,4,2025-04-17T00:00:00Z,427,1,LONSME,8,21,6,NA,NA,NA,6139.85
2025,4,2025-04-17T00:00:00Z,427,1,LONSME,8,22,7,NA,NA,NA,6139.85
2025,4,2025-04-17T00:00:00Z,427,1,LONSME,8,23,7,NA,NA,NA,6139.85
2025,4,2025-04-17T00:00:00Z,427,1,LONSME,8,24,1,NA,NA,NA,6139.85
2025,4,2025-04-17T00:00:00Z,427,1,LONSME,8,25,3,NA,NA,NA,6139.85
2025,4,2025-04-17T00:00:00Z,427,1,LONSME,8,26,2,NA,NA,NA,6139.85
2025,4,2025-04-17T00:00:00Z,427,1,LONSME,8,27,1,NA,NA,NA,6139.85
2025,4,2025-04-17T00:00:00Z,427,1,LONSME,8,29,1,NA,NA,NA,6139.85
2025,4,2025-04-17T00:00:00Z,427,1,LONSME,8,NA,NA,2,Added plus count 10/17/25,NA,6139.85
2025,4,2025-04-17T00:00:00Z,427,2,LONSME,8,22,1,NA,NA,1204.219985,NA
2025,4,2025-04-17T00:00:00Z,427,2,LONSME,8,23,1,NA,NA,1204.219985,NA
2025,4,2025-04-17T00:00:00Z,427,2,LONSME,8,24,2,NA,NA,1204.219985,NA
2025,4,2025-04-17T00:00:00Z,427,2,LONSME,8,25,3,NA,NA,1204.219985,NA
2025,4,2025-04-17T00:00:00Z,427,2,LONSME,8,26,2,NA,NA,1204.219985,NA
2025,4,2025-04-17T00:00:00Z,427,2,LONSME,8,27,3,NA,NA,1204.219985,NA
2025,4,2025-04-17T00:00:00Z,427,2,LONSME,8,28,2,NA,NA,1204.219985,NA
2025,4,2025-04-17T00:00:00Z,427,2,LONSME,8,29,1,NA,NA,1204.219985,NA
2025,4,2025-04-17T00:00:00Z,428,1,LONSME,8,20,1,NA,NA,NA,5651.3875
2025,4,2025-04-17T00:00:00Z,428,1,LONSME,8,21,3,NA,NA,NA,5651.3875
2025,4,2025-04-17T00:00:00Z,428,1,LONSME,8,22,4,NA,NA,NA,5651.3875
