Survey,Date,Station,Depth,Net,Tow Duration,Meter,TowVolume
1,1/7/2025,752,3.8,1,12,25118,7221.4
1,1/7/2025,760,5.6,1,12,27882,8016.1
1,1/7/2025,761,12.7,1,12,22071,6345.4
1,1/7/2025,762,4.1,1,12,22103,6354.6
1,1/6/2025,837,5.5,1,12,23307,6700.8
1,1/6/2025,853,13.1,1,12,21092,6064.0
1,1/6/2025,863,4.3,1,12,24112,6932.2
1,1/6/2025,864,12.8,1,12,22721,6532.3
1,1/6/2025,865,4.0,1,12,23101,6641.5
2,2/12/2025,101,12.8,1,12,19642,5647.1
2,2/12/2025,102,4.0,1,12,22896,6582.6
2,2/12/2025,103,4.1,1,12,21092,6064.0
2,2/11/2025,104,3.8,1,12,20098,5778.2
2,2/11/2025,105,4.3,1,12,20319,5841.7
2,2/11/2025,106,5.5,1,12,22042,6337.1
2,2/12/2025,107,14.6,1,12,19645,5647.9
2,2/11/2025,108,11.7,1,12,25768,7408.3
2,2/11/2025,109,20.4,1,12,27330,7857.4
2,2/11/2025,110,18.8,1,12,25672,7380.7
2,2/12/2025,140,13.7,1,12,21985,6320.7
2,2/11/2025,142,5.0,1,12,20670,5942.6
2,2/10/2025,211,7.8,1,12,19998,5749.4
2,2/10/2025,212,4.0,1,12,23806,6844.2
2,2/10/2025,213,21.3,1,12,26524,7625.7
2,2/10/2025,214,20.7,1,12,23113,6645.0
2,2/10/2025,215,15.2,1,12,23838,6853.4
2,2/10/2025,216,9.8,1,12,6853,1970.2
2,2/10/2025,243,6.6,1,12,19089,5488.1
2,2/10/2025,244,4.9,1,12,20889,6005.6
2,2/6/2025,317,3.2,1,12,21967,6315.5
2,2/6/2025,318,3.8,1,12,21736,6249.1
2,2/6/2025,319,3.7,1,12,24626,7080.0
2,2/6/2025,320,4.3,1,12,26046,7488.2
2,2/6/2025,321,2.7,1,12,23953,6886.5
2,2/6/2025,322,2.7,1,12,18269,5252.3
2,2/6/2025,323,3.4,1,12,22736,6536.6
2,2/6/2025,325,11.1,1,12,21068,6057.1
2,2/6/2025,345,13.4,1,12,32225,9264.7
2,2/6/2025,346,12.3,1,12,32270,9277.6
2,2/5/2025,427,7.6,1,12,20257,5823.9
2,2/5/2025,428,10.7,1,12,17875,5139.1
2,2/5/2025,429,9.0,1,12,18008,5177.3
2,2/5/2025,430,3.4,1,12,23881,6865.8
2,2/5/2025,431,2.9,1,12,23254,6685.5
2,2/5/2025,432,11.4,1,12,19660,5652.3
2,2/5/2025,433,12.5,1,12,24453,7030.2
2,2/5/2025,447,5.2,1,12,21552,6196.2
2,2/5/2025,534,4.3,1,12,22405,6441.4
2,2/5/2025,535,13.4,1,12,20066,5769.0
2,2/4/2025,736,12.5,1,12,22222,6388.8
2,2/4/2025,750,9.9,1,12,26668,7667.1
2,2/4/2025,751,10.1,1,12,22294,6409.5
2,2/4/2025,752,5.0,1,12,23354,6714.3
2,2/4/2025,760,5.8,1,12,20736,5961.6
2,2/4/2025,761,9.6,1,12,26229,7540.8
2,2/4/2025,762,4.0,1,12,29852,8582.5
2,2/3/2025,837,4.9,1,12,23379,6721.5
2,2/3/2025,853,11.9,1,12,22605,6498.9
2,2/3/2025,863,4.1,1,12,23686,6809.7
2,2/3/2025,864,12.5,1,12,22259,6399.5
2,2/3/2025,865,4.4,1,12,23881,6865.8
3,3/13/2025,101,12.7,1,12,23886,6867.2
3,3/13/2025,102,3.5,1,12,24929,7167.1
3,3/13/2025,103,3.8,1,12,25682,7383.6
3,3/11/2025,104,4.0,1,12,23571,6776.7
3,3/11/2025,105,4.0,1,12,22532,6478.0
3,3/11/2025,106,4.6,1,12,23186,6666.0
3,3/13/2025,107,14.3,1,12,22770,6546.4
3,3/11/2025,108,11.6,1,12,22729,6534.6
3,3/11/2025,109,19.2,1,12,22341,6423.0
3,3/11/2025,110,18.8,1,12,23632,6794.2
3,3/13/2025,140,14.8,1,12,20189,5804.3
3,3/11/2025,142,4.6,1,12,21523,6187.9
3,3/10/2025,211,8.2,1,12,19699,5663.5
3,3/10/2025,212,3.7,1,12,25950,7460.6
3,3/10/2025,213,21.6,1,12,20822,5986.3
3,3/10/2025,214,19.2,1,12,22703,6527.1
3,3/10/2025,215,14.8,1,12,23189,6666.8
3,3/10/2025,216,13.4,1,12,24927,7166.5
3,3/10/2025,243,7.0,1,12,24763,7119.4
3,3/10/2025,244,4.6,1,12,24014,6904.0
3,3/6/2025,317,3.8,1,12,28472,8185.7
3,3/6/2025,318,3.1,1,12,21603,6210.9
3,3/6/2025,319,2.6,1,12,22876,6576.9
3,3/6/2025,320,4.1,1,12,22376,6433.1
3,3/6/2025,321,1.8,1,12,22621,6503.5
3,3/6/2025,322,2.0,1,12,23540,6767.8
3,3/6/2025,323,5.2,1,12,25582,7354.8
3,3/6/2025,325,11.7,1,12,15056,4328.6
3,3/6/2025,345,13.4,1,12,14050,4039.4
3,3/6/2025,346,11.7,1,12,9393,2700.5
3,3/5/2025,427,10.2,1,12,24350,7000.6
3,3/5/2025,428,10.1,1,12,17997,5174.1
3,3/5/2025,429,9.3,1,12,17698,5088.2
3,3/5/2025,430,3.8,1,12,21233,6104.5
3,3/5/2025,431,3.1,1,12,22303,6412.1
3,3/5/2025,432,11.3,1,12,18689,5373.1
3,3/5/2025,433,12.3,1,12,21619,6215.5
3,3/5/2025,447,4.3,1,12,24718,7106.4
3,3/5/2025,534,3.7,1,12,20912,6012.2
3,3/5/2025,535,13.9,1,12,24538,7054.7
3,3/4/2025,736,12.5,1,12,22399,6439.7
3,3/4/2025,750,10.4,1,12,21233,6104.5
3,3/4/2025,751,9.9,1,12,20041,5761.8
3,3/4/2025,752,4.3,1,12,22073,6346.0
3,3/4/2025,760,5.2,1,12,20320,5842.0
3,3/4/2025,761,9.5,1,12,21265,6113.7
3,3/4/2025,762,4.4,1,12,21484,6176.7
3,3/3/2025,837,5.3,1,12,19976,5743.1
3,3/3/2025,853,11.9,1,12,16481,4738.3
3,3/3/2025,863,4.3,1,12,19956,5737.4
3,3/3/2025,864,11.9,1,12,19143,5503.6
3,3/3/2025,865,4.3,1,12,24167,6948.0
4,4/24/2025,101,13.1,1,12,21649,6224.1
4,4/24/2025,102,4.3,1,12,22183,6377.6
4,4/24/2025,103,5.5,1,12,26818,7710.2
4,4/23/2025,104,4.0,1,12,20308,5838.6
4,4/23/2025,105,4.4,1,12,21175,6087.8
4,4/23/2025,106,4.4,1,12,22297,6410.4
4,4/24/2025,107,16.6,1,12,24807,7132.0
4,4/23/2025,108,11.4,1,12,18903,5434.6
4,4/23/2025,109,18.9,1,12,21218,6100.2
4,4/23/2025,110,17.7,1,12,20635,5932.6
4,4/24/2025,140,16.5,1,12,23489,6753.1
4,4/23/2025,142,5.3,1,12,22891,6581.2
4,4/22/2025,211,7.3,1,12,19079,5485.2
4,4/22/2025,212,2.9,1,12,21030,6046.1
4,4/22/2025,213,19.7,1,12,21345,6136.7
4,4/22/2025,214,15.1,1,12,26297,7560.4
4,4/22/2025,215,14.6,1,12,22521,6474.8
4,4/22/2025,216,9.0,1,12,24327,6994.0
4,4/22/2025,243,6.9,1,12,20216,5812.1
4,4/22/2025,244,2.7,1,12,23897,6870.4
4,4/21/2025,317,3.1,1,12,24596,7071.4
4,4/21/2025,318,3.1,1,12,21426,6160.0
4,4/21/2025,319,2.4,1,12,23499,6756.0
4,4/21/2025,320,4.0,1,12,22744,6538.9
4,4/21/2025,321,1.7,1,12,21869,6287.3
4,4/21/2025,322,1.7,1,12,20842,5992.1
4,4/21/2025,323,3.8,1,12,21472,6173.2
4,4/21/2025,325,10.8,1,12,17448,5016.3
4,4/21/2025,345,12.3,1,12,9085,2611.9
4,4/21/2025,346,11.3,1,12,16528,4751.8
4,4/17/2025,427,10.2,1,12,21356,6139.9
4,4/17/2025,428,9.6,1,12,19657,5651.4
4,4/17/2025,429,8.4,1,12,20690,5948.4
4,4/17/2025,430,2.7,1,12,23791,6839.9
4,4/17/2025,431,3.7,1,12,22885,6579.4
4,4/17/2025,432,12.0,1,12,21376,6145.6
4,4/17/2025,433,11.7,1,12,20294,5834.5
4,4/17/2025,447,4.0,1,12,24375,7007.8
4,4/17/2025,534,2.9,1,12,22084,6349.2
4,4/17/2025,535,13.1,1,12,19754,5679.3
4,4/11/2025,736,11.4,1,12,19073,5483.5
4,4/11/2025,750,9.1,1,12,15954,4586.8
4,4/11/2025,751,8.8,1,12,15042,4324.6
4,4/11/2025,752,3.5,1,12,19769,5683.6
4,4/11/2025,760,4.4,1,12,21407,6154.5
4,4/11/2025,761,10.1,1,12,24018,6905.2
4,4/11/2025,762,4.6,1,12,22216,6387.1
4,4/10/2025,837,5.0,1,12,19168,5510.8
4,4/10/2025,853,10.7,1,12,25035,7197.6
4,4/10/2025,863,4.3,1,12,24533,7053.2
4,4/10/2025,864,11.7,1,12,23298,6698.2
4,4/10/2025,865,3.8,1,12,24496,7042.6
5,5/21/2025,101,9.6,1,12,17283,4968.9
5,5/21/2025,102,1.8,1,12,21666,6229.0
5,5/21/2025,103,3.2,1,12,20920,6014.5
5,5/20/2025,104,2.1,1,12,21398,6151.9
5,5/20/2025,105,1.5,1,12,22206,6384.2
5,5/20/2025,106,4.3,1,12,23452,6742.5
5,5/21/2025,107,14.2,1,12,20217,5812.4
5,5/20/2025,108,7.9,1,12,17359,4990.7
5,5/20/2025,109,18.3,1,12,20478,5887.4
5,5/20/2025,110,16.2,1,12,20201,5807.8
5,5/21/2025,140,12.3,1,12,16972,4879.5
5,5/20/2025,142,2.9,1,12,21693,6236.7
5,5/19/2025,211,7.2,1,12,19676,5656.9
5,5/19/2025,212,2.6,1,12,22275,6404.1
5,5/19/2025,213,18.6,1,12,20394,5863.3
5,5/19/2025,214,12.3,1,12,19210,5522.9
5,5/19/2025,215,12.0,1,12,16248,4671.3
5,5/19/2025,216,9.8,1,12,24944,7171.4
5,5/19/2025,243,7.0,1,12,26776,7698.1
5,5/19/2025,244,3.8,1,12,28562,8211.6
5,5/8/2025,317,4.6,1,12,25279,7267.7
5,5/8/2025,318,4.3,1,12,21452,6167.5
5,5/8/2025,319,3.7,1,12,25945,7459.2
5,5/8/2025,320,4.0,1,12,26286,7557.2
5,5/8/2025,321,3.7,1,12,23096,6640.1
5,5/8/2025,322,3.7,1,12,24408,7017.3
5,5/8/2025,323,4.9,1,12,23183,6665.1
5,5/8/2025,325,13.7,1,12,26010,7477.9
5,5/8/2025,345,15.2,1,12,22563,6486.9
5,5/8/2025,346,12.2,1,12,25693,7386.7
5,5/7/2025,427,9.8,1,12,14388,4136.6
5,5/7/2025,428,10.2,1,12,20154,5794.3
5,5/7/2025,429,9.0,1,12,22844,6567.7
5,5/7/2025,430,3.4,1,12,26338,7572.2
5,5/7/2025,431,3.2,1,12,24796,7128.9
5,5/7/2025,432,11.3,1,12,20987,6033.8
5,5/7/2025,433,11.8,1,12,15159,4358.2
5,5/7/2025,447,3.2,1,12,18475,5311.6
5,5/7/2025,534,2.4,1,12,27982,8044.8
5,5/7/2025,535,12.5,1,12,13361,3841.3
5,5/6/2025,736,12.2,1,12,15254,4385.5
5,5/6/2025,750,9.5,1,12,16360,4703.5
5,5/6/2025,751,10.8,1,12,19125,5498.4
5,5/6/2025,752,4.6,1,12,22849,6569.1
5,5/6/2025,760,5.5,1,12,21400,6152.5
5,5/6/2025,761,10.7,1,12,23018,6617.7
5,5/6/2025,762,5.6,1,12,22147,6367.3
5,5/6/2025,837,4.9,1,12,21331,6132.7
5,5/6/2025,853,11.9,1,12,22754,6541.8
5,5/6/2025,863,4.6,1,12,24077,6922.1
5,5/6/2025,864,12.2,1,12,24631,7081.4
5,5/6/2025,865,4.0,1,12,26283,7556.4
6,6/19/2025,101,11.3,1,12,22556,6484.9
6,6/19/2025,102,2.4,1,12,24160,6946.0
6,6/19/2025,103,4.6,1,12,22749,6540.3
6,6/18/2025,104,2.6,1,12,28452,8180.0
6,6/18/2025,105,3.1,1,12,26818,7710.2
6,6/18/2025,106,3.8,1,12,28015,8054.3
6,6/19/2025,107,14.5,1,12,24748,7115.1
6,6/18/2025,108,9.8,1,12,23894,6869.5
6,6/18/2025,109,18.8,1,12,26104,7504.9
6,6/18/2025,110,17.2,1,12,25418,7307.7
6,6/19/2025,140,14.3,1,12,21302,6124.3
6,6/18/2025,142,3.5,1,12,26474,7611.3
6,6/17/2025,211,7.0,1,12,23037,6623.1
6,6/17/2025,212,3.4,1,12,28364,8154.7
6,6/17/2025,213,22.7,1,12,24240,6969.0
6,6/17/2025,214,13.4,1,12,24868,7149.6
6,6/17/2025,215,14.6,1,12,23530,6764.9
6,6/17/2025,216,10.1,1,12,27414,7881.5
6,6/17/2025,243,6.7,1,12,20254,5823.0
6,6/17/2025,244,5.5,1,12,26601,7647.8
6,6/16/2025,317,5.2,1,12,26174,7525.0
6,6/16/2025,318,4.3,1,12,24234,6967.3
6,6/16/2025,319,3.4,1,12,23912,6874.7
6,6/16/2025,320,3.5,1,12,24358,7002.9
6,6/16/2025,321,2.4,1,12,24215,6961.8
6,6/16/2025,322,2.7,1,12,27962,8039.1
6,6/16/2025,323,4.0,1,12,27104,7792.4
6,6/16/2025,325,10.7,1,12,19154,5506.8
6,6/16/2025,345,15.5,1,12,24613,7076.2
6,6/16/2025,346,11.6,1,12,14319,4116.7
6,6/3/2025,427,12.7,1,12,17064,4905.9
6,6/3/2025,428,10.4,1,12,24719,7106.7
6,6/3/2025,429,9.6,1,12,23168,6660.8
6,6/3/2025,430,3.8,1,12,26366,7580.2
6,6/3/2025,431,4.0,1,12,28137,8089.4
6,6/3/2025,432,11.7,1,12,20359,5853.2
6,6/3/2025,433,12.2,1,12,25565,7349.9
6,6/3/2025,447,4.6,1,12,23356,6714.9
6,6/3/2025,534,3.4,1,12,26774,7697.5
6,6/3/2025,535,12.8,1,12,26423,7596.6
6,6/2/2025,736,11.4,1,12,17890,5143.4
6,6/2/2025,750,9.0,1,12,19662,5652.8
6,6/2/2025,751,9.5,1,12,22623,6504.1
6,6/2/2025,752,3.5,1,12,25499,7331.0
6,6/2/2025,760,4.9,1,12,24281,6980.8
6,6/2/2025,761,11.1,1,12,23511,6759.4
6,6/2/2025,762,3.4,1,12,25626,7367.5
6,6/2/2025,837,6.3,1,12,21633,6219.5
6,6/2/2025,853,12.4,1,12,26238,7543.4
6,6/2/2025,863,4.0,1,12,26009,7477.6
6,6/2/2025,864,12.2,1,12,23112,6644.7
6,6/2/2025,865,4.9,1,12,26650,7661.9
7,7/16/2025,101,10.7,1,12,24229,6965.8
7,7/16/2025,102,2.7,1,12,28142,8090.8
7,7/16/2025,103,3.4,1,12,28245,8120.4
7,7/15/2025,104,2.7,1,12,26385,7585.7
7,7/15/2025,105,2.4,1,12,27123,7797.9
7,7/15/2025,106,4.4,1,12,25623,7366.6
7,7/16/2025,107,14.0,1,12,27164,7809.7
7,7/15/2025,108,10.7,1,12,25480,7325.5
7,7/15/2025,109,20.4,1,12,25266,7264.0
7,7/15/2025,110,16.5,1,12,24468,7034.6
7,7/16/2025,140,11.9,1,12,26337,7571.9
7,7/15/2025,142,3.4,1,12,24997,7186.6
7,7/14/2025,211,6.7,1,12,24737,7111.9
7,7/14/2025,212,2.7,1,12,25271,7265.4
7,7/14/2025,213,19.2,1,12,23581,6779.5
7,7/14/2025,214,14.9,1,12,20202,5808.1
7,7/14/2025,215,13.7,1,12,25227,7252.8
7,7/14/2025,216,10.1,1,12,29393,8450.5
7,7/14/2025,243,7.0,1,12,26174,7525.0
7,7/14/2025,244,4.4,1,12,23997,6899.1
7,7/10/2025,317,3.8,1,12,26342,7573.3
7,7/3/2025,318,3.8,1,12,25266,7264.0
7,7/3/2025,319,3.1,1,12,26778,7698.7
7,7/3/2025,320,3.7,1,12,29166,8385.2
7,7/10/2025,321,2.0,1,12,24450,7029.4
7,7/10/2025,322,2.3,1,12,25169,7236.1
7,7/10/2025,323,4.7,1,12,23961,6888.8
7,7/3/2025,325,12.0,1,12,22212,6386.0
7,7/10/2025,345,13.7,1,12,23299,6698.5
7,7/10/2025,346,10.7,1,12,17985,5170.7
7,7/2/2025,427,11.4,1,12,16439,4726.2
7,7/2/2025,428,11.0,1,12,23624,6791.9
7,7/2/2025,429,9.6,1,12,19774,5685.0
7,7/2/2025,430,3.5,1,12,23591,6782.4
7,7/2/2025,431,4.7,1,12,29631,8518.9
7,7/2/2025,432,12.5,1,12,19710,5666.6
7,7/2/2025,433,12.3,1,12,24787,7126.3
7,7/2/2025,447,4.0,1,12,26258,7549.2
7,7/2/2025,534,4.0,1,12,29143,8378.6
7,7/2/2025,535,13.7,1,12,25600,7360.0
7,7/1/2025,736,11.9,1,12,20880,6003.0
7,7/1/2025,750,9.5,1,12,21147,6079.8
7,7/1/2025,751,9.5,1,12,21584,6205.4
7,7/1/2025,752,4.1,1,12,22486,6464.7
7,7/1/2025,760,4.6,1,12,22635,6507.6
7,7/1/2025,761,11.6,1,12,22310,6414.1
7,7/1/2025,762,4.9,1,12,22186,6378.5
7,7/1/2025,837,5.6,1,12,32155,9244.6
7,7/1/2025,853,11.7,1,12,25969,7466.1
7,7/1/2025,863,5.0,1,12,25060,7204.8
7,7/1/2025,864,11.7,1,12,24072,6920.7
7,7/1/2025,865,3.8,1,12,27007,7764.5
8,8/20/2025,101,12.2,1,12,20417,5869.9
8,8/20/2025,102,3.5,1,12,23280,6693.0
8,8/20/2025,103,4.0,1,12,22857,6571.4
8,8/19/2025,104,3.7,1,12,21659,6227.0
8,8/19/2025,105,3.4,1,12,21346,6137.0
8,8/19/2025,106,4.6,1,12,20988,6034.1
8,8/20/2025,107,15.1,1,12,20686,5947.2
8,8/19/2025,108,11.7,1,12,20481,5888.3
8,8/19/2025,109,20.1,1,12,17981,5169.5
8,8/19/2025,110,16.8,1,12,19214,5524.0
8,8/20/2025,140,12.5,1,12,23795,6841.1
8,8/19/2025,142,4.6,1,12,23180,6664.3
8,8/13/2025,211,7.3,1,12,18651,5362.2
8,8/13/2025,212,2.9,1,12,19978,5743.7
8,8/13/2025,213,19.2,1,12,20275,5829.1
8,8/13/2025,214,14.9,1,12,19991,5747.4
8,8/13/2025,215,14.6,1,12,21163,6084.4
8,8/13/2025,216,10.2,1,12,25940,7457.8
8,8/13/2025,243,7.3,1,12,24612,7076.0
8,8/13/2025,244,5.0,1,12,23998,6899.4
8,8/12/2025,317,5.9,1,12,22038,6335.9
8,8/12/2025,318,3.4,1,12,21486,6177.2
8,8/12/2025,319,3.8,1,12,21124,6073.2
8,8/12/2025,320,3.2,1,12,19009,5465.1
8,8/12/2025,321,2.7,1,12,23495,6754.8
8,8/12/2025,322,2.9,1,12,22811,6558.2
8,8/12/2025,323,4.1,1,12,23346,6712.0
8,8/12/2025,325,11.7,1,12,21143,6078.6
8,8/12/2025,345,15.4,1,12,21820,6273.3
8,8/12/2025,346,10.2,1,12,11059,3179.5
8,8/11/2025,427,11.9,1,12,21141,6078.0
8,8/11/2025,428,10.7,1,12,19943,5733.6
8,8/11/2025,429,9.1,1,12,35828,10300.6
8,8/11/2025,430,3.2,1,12,19343,5561.1
8,8/11/2025,431,3.5,1,12,25958,7462.9
8,8/11/2025,432,13.3,1,12,26920,7739.5
8,8/11/2025,433,11.6,1,12,30354,8726.8
8,8/11/2025,447,5.6,1,12,23003,6613.4
8,8/11/2025,534,3.2,1,12,16585,4768.2
8,8/11/2025,535,13.6,1,12,12607,3624.5
8,8/7/2025,736,11.3,1,12,16344,4698.9
8,8/7/2025,750,9.3,1,12,18433,5299.5
8,8/7/2025,751,9.8,1,12,17099,4916.0
8,8/7/2025,752,4.4,1,12,18773,5397.2
8,8/7/2025,760,5.0,1,12,20602,5923.1
8,8/7/2025,761,9.5,1,12,22148,6367.6
8,8/7/2025,762,4.0,1,12,21088,6062.8
8,8/4/2025,837,4.0,1,12,21736,6249.1
8,8/6/2025,853,11.0,1,12,21082,6061.1
8,8/6/2025,863,4.6,1,12,24316,6990.9
8,8/6/2025,864,11.9,1,12,22533,6478.2
8,8/6/2025,865,4.0,1,12,23407,6729.5
9,9/16/2025,101,12.2,1,12,20820,5985.8
9,9/16/2025,102,4.1,1,12,22662,6515.3
9,9/16/2025,103,5.0,1,12,21770,6258.9
9,9/15/2025,104,3.7,1,12,19159,5508.2
9,9/15/2025,105,3.8,1,12,21181,6089.5
9,9/15/2025,106,3.7,1,12,21223,6101.6
9,9/16/2025,107,15.2,1,12,20835,5990.1
9,9/15/2025,108,11.4,1,12,19166,5510.2
9,9/15/2025,109,20.3,1,12,18473,5311.0
9,9/15/2025,110,18.3,1,12,23850,6856.9
9,9/16/2025,140,15.1,1,12,21231,6103.9
9,9/15/2025,142,5.2,1,12,21787,6263.8
9,9/11/2025,211,9.5,1,12,20572,5914.5
9,9/11/2025,212,3.1,1,12,21767,6258.0
9,9/11/2025,213,20.0,1,12,19088,5487.8
9,9/11/2025,214,19.1,1,12,21512,6184.7
9,9/11/2025,215,14.6,1,12,21268,6114.6
9,9/11/2025,216,10.5,1,12,24198,6956.9
9,9/11/2025,243,7.9,1,12,19139,5502.5
9,9/11/2025,244,4.1,1,12,22762,6544.1
9,9/10/2025,317,5.0,1,12,21754,6254.3
9,9/10/2025,318,3.2,1,12,20850,5994.4
9,9/10/2025,319,3.1,1,12,21179,6089.0
9,9/10/2025,320,4.1,1,12,20002,5750.6
9,9/10/2025,321,2.9,1,12,22519,6474.2
9,9/10/2025,322,3.4,1,12,21275,6116.6
9,9/10/2025,323,4.4,1,12,19083,5486.4
9,9/10/2025,325,11.7,1,12,17876,5139.4
9,9/10/2025,345,14.3,1,12,20872,6000.7
9,9/10/2025,346,11.4,1,12,9704,2789.9
9,9/3/2025,427,11.1,1,12,27525,7913.4
9,9/3/2025,428,11.9,1,12,26459,7607.0
9,9/3/2025,429,9.6,1,12,26988,7759.1
9,9/3/2025,430,3.2,1,12,26890,7730.9
9,9/3/2025,431,3.7,1,12,28722,8257.6
9,9/3/2025,432,12.2,1,12,23228,6678.1
9,9/3/2025,433,10.7,1,12,20257,5823.9
9,9/3/2025,447,5.2,1,12,26789,7701.8
9,9/3/2025,534,3.8,1,12,30299,8711.0
9,9/3/2025,535,13.3,1,12,20951,6023.4
9,9/2/2025,736,12.0,1,12,21757,6255.1
9,9/2/2025,750,10.5,1,12,23092,6639.0
9,9/2/2025,751,10.7,1,12,26223,7539.1
9,9/2/2025,752,4.7,1,12,24231,6966.4
9,9/2/2025,760,6.3,1,12,26005,7476.4
9,9/2/2025,761,10.7,1,12,23858,6859.2
9,9/2/2025,762,5.9,1,12,25394,7300.8
9,9/2/2025,837,5.5,1,12,26307,7563.3
9,9/2/2025,853,12.3,1,12,23341,6710.5
9,9/2/2025,863,4.7,1,12,26168,7523.3
9,9/2/2025,864,12.2,1,12,23202,6670.6
9,9/2/2025,865,5.0,1,12,23722,6820.1
10,10/9/2025,101,11.9,1,12,16248,4671.3
10,10/9/2025,102,3.2,1,12,19772,5684.5
10,10/9/2025,103,4.0,1,12,22232,6391.7
10,10/8/2025,104,3.4,1,12,19032,5471.7
10,10/8/2025,105,3.4,1,12,21043,6049.9
10,10/8/2025,106,4.3,1,12,18192,5230.2
10,10/9/2025,107,13.7,1,12,22647,6511.0
10,10/8/2025,108,11.3,1,12,17443,5014.9
10,10/8/2025,109,21.3,1,12,18390,5287.1
10,10/8/2025,110,17.5,1,12,22943,6596.1
10,10/9/2025,140,15.1,1,12,14833,4264.5
10,10/8/2025,142,4.3,1,12,21360,6141.0
10,10/7/2025,211,8.7,1,12,17849,5131.6
10,10/7/2025,212,3.7,1,12,22101,6354.0
10,10/7/2025,213,22.1,1,12,20942,6020.8
10,10/7/2025,214,16.8,1,12,22978,6606.2
10,10/7/2025,215,14.9,1,12,19508,5608.6
10,10/7/2025,216,11.4,1,12,19686,5659.7
10,10/7/2025,243,8.4,1,12,19901,5721.5
10,10/7/2025,244,5.6,1,12,23651,6799.7
10,10/6/2025,317,4.7,1,12,21016,6042.1
10,10/6/2025,318,3.8,1,12,22974,6605.0
10,10/6/2025,319,3.5,1,12,24173,6949.7
10,10/6/2025,320,3.7,1,12,22615,6501.8
10,10/6/2025,321,4.0,1,12,23651,6799.7
10,10/6/2025,322,4.4,1,12,22260,6399.8
10,10/6/2025,323,5.2,1,12,22018,6330.2
10,10/6/2025,325,13.1,1,12,23557,6772.6
10,10/6/2025,345,15.7,1,12,21570,6201.4
10,10/6/2025,346,11.6,1,12,17469,5022.3
10,10/2/2025,427,10.2,1,12,26942,7745.8
10,10/2/2025,428,11.4,1,12,18395,5288.6
10,10/2/2025,429,10.4,1,12,23742,6825.8
10,10/2/2025,430,3.1,1,12,22992,6610.2
10,10/2/2025,431,3.5,1,12,22369,6431.1
10,10/2/2025,432,12.3,1,12,18752,5391.2
10,10/2/2025,433,12.2,1,12,20290,5833.4
10,10/2/2025,447,5.8,1,12,21784,6262.9
10,10/2/2025,534,3.5,1,12,23190,6667.1
10,10/2/2025,535,12.5,1,12,17212,4948.5
10,10/1/2025,736,12.7,1,12,18159,5220.7
10,10/1/2025,750,10.5,1,12,19638,5645.9
10,10/1/2025,751,10.4,1,12,20439,5876.2
10,10/1/2025,752,4.9,1,12,21824,6274.4
10,10/1/2025,760,5.8,1,12,21391,6149.9
10,10/1/2025,761,10.2,1,12,19000,5462.5
10,10/1/2025,762,4.4,1,12,21320,6129.5
10,10/1/2025,837,4.3,1,12,21855,6283.3
