Year,Survey,Date,Station,Net,Tow,AlphaCode,Length,Frequency,AdjustedFreq,SizeGroup
2025,1,1/14/2025,110,2,1,LONSME,66,1,1.00,Age1
2025,1,1/15/2025,140,1,1,LONSME,56,1,1.00,Age1
2025,1,1/15/2025,140,1,1,LONSME,67,1,1.00,Age1
2025,1,1/15/2025,140,2,1,LONSME,63,1,1.00,Age1
2025,1,1/13/2025,215,1,1,LONSME,71,1,1.00,Age1
2025,1,1/13/2025,215,2,1,LONSME,63,1,1.00,Age1
2025,1,1/13/2025,243,1,1,LONSME,55,1,1.00,Age1
2025,1,1/13/2025,243,1,1,LONSME,64,2,2.00,Age1
2025,1,1/13/2025,243,1,1,LONSME,65,1,1.00,Age1
2025,1,1/13/2025,243,1,1,LONSME,66,1,1.00,Age1
2025,1,1/9/2025,317,1,1,LONSME,66,1,1.00,Age1
2025,1,1/9/2025,317,1,1,LONSME,71,1,1.00,Age1
2025,1,1/9/2025,319,2,1,LONSME,61,1,1.00,Age1
2025,1,1/9/2025,319,2,1,LONSME,72,1,1.00,Age1
2025,1,1/9/2025,320,2,1,LONSME,64,1,1.00,Age1
2025,1,1/9/2025,320,2,1,LONSME,78,1,1.00,Age1
2025,1,1/9/2025,321,1,1,LONSME,55,1,1.00,Age1
2025,1,1/9/2025,321,1,1,LONSME,57,1,1.00,Age1
2025,1,1/9/2025,321,1,1,LONSME,61,1,1.00,Age1
2025,1,1/9/2025,321,1,1,LONSME,64,1,1.00,Age1
2025,1,1/9/2025,321,2,1,LONSME,60,1,1.00,Age1
2025,1,1/9/2025,321,2,1,LONSME,61,1,1.00,Age1
2025,1,1/9/2025,321,2,1,LONSME,63,1,1.00,Age1
2025,1,1/9/2025,322,2,1,LONSME,57,1,1.00,Age1
2025,1,1/9/2025,322,2,1,LONSME,58,3,3.00,Age1
2025,1,1/9/2025,322,2,1,LONSME,59,3,3.00,Age1
2025,1,1/9/2025,322,2,1,LONSME,61,2,2.00,Age1
2025,1,1/9/2025,322,2,1,LONSME,62,1,1.00,Age1
2025,1,1/9/2025,322,2,1,LONSME,63,4,4.00,Age1
2025,1,1/9/2025,322,2,1,LONSME,66,2,2.00,Age1
2025,1,1/9/2025,322,2,1,LONSME,67,1,1.00,Age1
2025,1,1/9/2025,322,2,1,LONSME,68,1,1.00,Age1
2025,1,1/9/2025,322,2,1,LONSME,73,1,1.00,Age1
2025,1,1/9/2025,322,2,1,LONSME,82,1,1.00,Age1
2025,1,1/9/2025,325,2,1,LONSME,59,1,1.00,Age1
2025,1,1/9/2025,325,2,1,LONSME,60,1,1.00,Age1
2025,1,1/9/2025,325,2,1,LONSME,62,1,1.00,Age1
2025,1,1/9/2025,325,2,1,LONSME,63,1,1.00,Age1
2025,1,1/9/2025,325,2,1,LONSME,64,2,2.00,Age1
2025,1,1/9/2025,325,2,1,LONSME,70,2,2.00,Age1
2025,1,1/9/2025,325,2,1,LONSME,77,1,1.00,Age1
2025,1,1/9/2025,345,1,1,LONSME,58,1,1.00,Age1
2025,1,1/9/2025,345,1,1,LONSME,65,1,1.00,Age1
2025,1,1/9/2025,345,1,1,LONSME,77,1,1.00,Age1
2025,1,1/9/2025,345,2,1,LONSME,66,1,1.00,Age1
2025,1,1/9/2025,346,1,1,LONSME,58,1,1.00,Age1
2025,1,1/9/2025,346,1,1,LONSME,60,2,2.00,Age1
2025,1,1/9/2025,346,1,1,LONSME,61,1,1.00,Age1
2025,1,1/9/2025,346,1,1,LONSME,62,2,2.00,Age1
2025,1,1/9/2025,346,1,1,LONSME,63,2,2.00,Age1
2025,1,1/9/2025,346,1,1,LONSME,65,2,2.00,Age1
2025,1,1/9/2025,346,1,1,LONSME,66,1,1.00,Age1
2025,1,1/9/2025,346,1,1,LONSME,67,2,2.00,Age1
2025,1,1/9/2025,346,1,1,LONSME,68,1,1.00,Age1
2025,1,1/9/2025,346,1,1,LONSME,91,1,1.00,Age2+
2025,1,1/9/2025,346,1,1,LONSME,111,1,1.00,Age2+
2025,1,1/8/2025,427,1,1,LONSME,56,1,1.00,Age1
2025,1,1/8/2025,427,1,1,LONSME,60,2,2.00,Age1
2025,1,1/8/2025,427,1,1,LONSME,62,1,1.00,Age1
2025,1,1/8/2025,427,1,1,LONSME,68,1,1.00,Age1
2025,1,1/8/2025,427,1,1,LONSME,69,1,1.00,Age1
2025,1,1/8/2025,427,1,1,LONSME,70,1,1.00,Age1
2025,1,1/8/2025,427,1,1,LONSME,71,2,2.00,Age1
2025,1,1/8/2025,427,1,1,LONSME,73,1,1.00,Age1
2025,1,1/8/2025,427,1,1,LONSME,74,2,2.00,Age1
2025,1,1/8/2025,427,1,1,LONSME,77,1,1.00,Age1
2025,1,1/8/2025,427,1,1,LONSME,80,1,1.00,Age1
2025,1,1/8/2025,427,1,1,LONSME,83,2,2.00,Age1
2025,1,1/8/2025,427,2,1,LONSME,79,1,1.00,Age1
2025,1,1/8/2025,428,1,1,LONSME,62,1,1.00,Age1
2025,1,1/8/2025,428,1,1,LONSME,63,1,1.00,Age1
2025,1,1/8/2025,428,1,1,LONSME,67,2,2.00,Age1
2025,1,1/8/2025,428,1,1,LONSME,68,1,1.00,Age1
2025,1,1/8/2025,428,1,1,LONSME,69,2,2.00,Age1
2025,1,1/8/2025,428,1,1,LONSME,71,1,1.00,Age1
2025,1,1/8/2025,428,1,1,LONSME,77,1,1.00,Age1
2025,1,1/8/2025,428,1,1,LONSME,105,1,1.00,Age2+
2025,1,1/8/2025,428,1,1,LONSME,119,1,1.00,Age2+
2025,1,1/8/2025,429,1,1,LONSME,74,1,1.00,Age1
2025,1,1/8/2025,430,1,1,LONSME,66,1,1.00,Age1
2025,1,1/8/2025,432,1,1,LONSME,56,1,1.00,Age1
2025,1,1/8/2025,432,1,1,LONSME,67,1,1.00,Age1
2025,1,1/8/2025,432,1,1,LONSME,69,1,1.00,Age1
2025,1,1/8/2025,432,1,1,LONSME,70,1,1.00,Age1
2025,1,1/8/2025,432,1,1,LONSME,71,1,1.00,Age1
2025,1,1/8/2025,432,1,1,LONSME,72,1,1.00,Age1
2025,1,1/8/2025,432,1,1,LONSME,74,1,1.00,Age1
2025,1,1/8/2025,432,1,1,LONSME,76,1,1.00,Age1
2025,1,1/8/2025,432,1,1,LONSME,82,1,1.00,Age1
2025,1,1/8/2025,432,1,1,LONSME,90,1,1.00,Age2+
2025,1,1/8/2025,433,1,1,LONSME,93,1,1.00,Age2+
2025,1,1/8/2025,433,1,1,LONSME,99,1,1.00,Age2+
2025,1,1/8/2025,535,2,1,LONSME,118,1,1.00,Age2+
2025,2,2/11/2025,108,1,1,LONSME,63,1,1.00,Age1
2025,2,2/11/2025,108,1,1,LONSME,67,1,1.00,Age1
2025,2,2/11/2025,108,1,1,LONSME,69,1,1.00,Age1
2025,2,2/11/2025,108,1,1,LONSME,70,1,1.00,Age1
2025,2,2/11/2025,108,2,1,LONSME,54,1,1.00,Age1
2025,2,2/11/2025,108,2,1,LONSME,61,2,2.00,Age1
2025,2,2/11/2025,108,2,1,LONSME,62,1,1.00,Age1
2025,2,2/11/2025,108,2,1,LONSME,65,2,2.00,Age1
2025,2,2/11/2025,108,2,1,LONSME,66,1,1.00,Age1
2025,2,2/11/2025,108,2,1,LONSME,68,1,1.00,Age1
2025,2,2/11/2025,108,2,1,LONSME,70,2,2.00,Age1
2025,2,2/11/2025,108,2,1,LONSME,72,1,1.00,Age1
2025,2,2/11/2025,108,2,1,LONSME,73,2,2.00,Age1
2025,2,2/11/2025,108,2,1,LONSME,80,1,1.00,Age1
2025,2,2/11/2025,108,2,1,LONSME,103,1,1.00,Age2+
2025,2,2/11/2025,110,2,1,LONSME,76,1,1.00,Age1
2025,2,2/10/2025,211,2,1,LONSME,77,1,1.00,Age1
2025,2,2/10/2025,213,2,1,LONSME,70,1,1.00,Age1
2025,2,2/10/2025,213,2,1,LONSME,75,1,1.00,Age1
2025,2,2/10/2025,213,2,1,LONSME,79,1,1.00,Age1
2025,2,2/10/2025,214,2,1,LONSME,110,1,1.00,Age2+
2025,2,2/10/2025,216,1,1,LONSME,68,1,1.00,Age1
2025,2,2/10/2025,216,2,1,LONSME,75,1,1.00,Age1
2025,2,2/10/2025,243,2,1,LONSME,61,1,1.00,Age1
2025,2,2/10/2025,243,2,1,LONSME,66,1,1.00,Age1
2025,2,2/10/2025,243,2,1,LONSME,68,1,1.00,Age1
2025,2,2/10/2025,243,2,1,LONSME,72,1,1.00,Age1
2025,2,2/6/2025,317,1,1,LONSME,66,1,1.00,Age1
2025,2,2/6/2025,317,1,1,LONSME,67,1,1.00,Age1
2025,2,2/6/2025,317,1,1,LONSME,72,1,1.00,Age1
2025,2,2/6/2025,317,1,1,LONSME,79,1,1.00,Age1
2025,2,2/6/2025,318,2,1,LONSME,75,1,1.00,Age1
2025,2,2/6/2025,318,2,1,LONSME,77,1,1.00,Age1
2025,2,2/6/2025,318,2,1,LONSME,81,1,1.00,Age1
2025,2,2/6/2025,318,2,1,LONSME,110,1,1.00,Age2+
2025,2,2/6/2025,320,2,1,LONSME,62,1,1.00,Age1
2025,2,2/6/2025,320,2,1,LONSME,80,1,1.00,Age1
2025,2,2/6/2025,321,1,1,LONSME,72,1,1.00,Age1
2025,2,2/6/2025,321,1,1,LONSME,73,1,1.00,Age1
2025,2,2/6/2025,321,1,1,LONSME,80,1,1.00,Age1
2025,2,2/6/2025,321,1,1,LONSME,81,1,1.00,Age1
2025,2,2/6/2025,322,1,1,LONSME,67,1,1.00,Age1
2025,2,2/6/2025,323,1,1,LONSME,67,1,1.00,Age1
2025,2,2/6/2025,323,1,1,LONSME,75,1,1.00,Age1
2025,2,2/6/2025,323,1,1,LONSME,84,1,1.00,Age1
2025,2,2/6/2025,323,1,1,LONSME,102,1,1.00,Age2+
2025,2,2/6/2025,325,2,1,LONSME,60,1,1.00,Age1
2025,2,2/6/2025,325,2,1,LONSME,66,1,1.00,Age1
2025,2,2/6/2025,345,1,1,LONSME,62,1,1.00,Age1
2025,2,2/6/2025,345,1,1,LONSME,63,1,1.00,Age1
2025,2,2/6/2025,345,1,1,LONSME,71,1,1.00,Age1
2025,2,2/6/2025,345,1,1,LONSME,73,1,1.00,Age1
2025,2,2/6/2025,345,1,1,LONSME,80,1,1.00,Age1
2025,2,2/6/2025,345,1,1,LONSME,82,1,1.00,Age1
2025,2,2/6/2025,345,1,1,LONSME,83,1,1.00,Age1
2025,2,2/6/2025,346,1,1,LONSME,62,1,1.00,Age1
2025,2,2/6/2025,346,1,1,LONSME,67,1,1.00,Age1
2025,2,2/6/2025,346,1,1,LONSME,68,1,1.00,Age1
2025,2,2/6/2025,346,1,1,LONSME,69,1,1.00,Age1
2025,2,2/6/2025,346,1,1,LONSME,86,1,1.00,Age1
2025,2,2/6/2025,346,1,1,LONSME,110,1,1.00,Age2+
2025,2,2/6/2025,346,1,1,LONSME,111,1,1.00,Age2+
2025,2,2/6/2025,346,2,1,LONSME,72,1,1.00,Age1
2025,2,2/6/2025,346,2,1,LONSME,83,1,1.00,Age1
2025,2,2/6/2025,346,2,1,LONSME,112,1,1.00,Age2+
2025,2,2/5/2025,427,1,1,LONSME,67,1,1.00,Age1
2025,2,2/5/2025,428,1,1,LONSME,86,1,1.00,Age1
2025,2,2/5/2025,429,1,1,LONSME,86,1,1.00,Age1
2025,2,2/5/2025,429,1,1,LONSME,87,1,1.00,Age1
2025,2,2/5/2025,429,1,1,LONSME,90,1,1.00,Age1
2025,2,2/5/2025,429,1,1,LONSME,101,1,1.00,Age2+
2025,2,2/5/2025,430,1,1,LONSME,78,1,1.00,Age1
2025,2,2/5/2025,430,1,1,LONSME,79,1,1.00,Age1
2025,2,2/5/2025,432,1,1,LONSME,72,1,1.00,Age1
2025,2,2/5/2025,432,1,1,LONSME,73,1,1.00,Age1
2025,2,2/5/2025,432,1,1,LONSME,77,1,1.00,Age1
2025,2,2/5/2025,432,1,1,LONSME,79,1,1.00,Age1
2025,2,2/5/2025,432,1,1,LONSME,81,1,1.00,Age1
2025,2,2/5/2025,447,1,1,LONSME,80,1,1.00,Age1
2025,2,2/5/2025,447,1,1,LONSME,83,1,1.00,Age1
2025,2,2/5/2025,535,1,1,LONSME,83,1,1.00,Age1
2025,2,2/5/2025,535,1,1,LONSME,84,1,1.00,Age1
2025,2,2/5/2025,535,2,1,LONSME,87,1,1.00,Age1
2025,2,2/4/2025,750,1,1,LONSME,76,1,1.00,Age1
2025,3,3/13/2025,101,2,1,LONSME,78,1,1.00,Age1
2025,3,3/11/2025,108,2,1,LONSME,70,1,1.00,Age1
2025,3,3/11/2025,108,2,1,LONSME,75,1,1.00,Age1
2025,3,3/11/2025,108,2,1,LONSME,76,1,1.00,Age1
2025,3,3/11/2025,108,2,1,LONSME,81,1,1.00,Age1
2025,3,3/10/2025,216,2,1,LONSME,63,1,1.00,Age1
2025,3,3/6/2025,318,1,1,LONSME,78,1,1.00,Age1
2025,3,3/6/2025,320,1,1,LONSME,67,1,1.00,Age1
2025,3,3/6/2025,320,1,1,LONSME,76,1,1.00,Age1
2025,3,3/6/2025,320,1,1,LONSME,78,1,1.00,Age1
2025,3,3/6/2025,321,1,1,LONSME,83,1,1.00,Age1
2025,3,3/6/2025,321,1,1,LONSME,99,1,1.00,Age2+
2025,3,3/6/2025,322,1,1,LONSME,76,1,1.00,Age1
2025,3,3/6/2025,322,1,1,LONSME,79,1,1.00,Age1
2025,3,3/6/2025,325,1,1,LONSME,67,1,1.00,Age1
2025,3,3/6/2025,325,1,1,LONSME,77,1,1.00,Age1
2025,3,3/6/2025,325,1,1,LONSME,80,1,1.00,Age1
2025,3,3/6/2025,325,2,1,LONSME,66,1,1.00,Age1
2025,3,3/6/2025,345,1,1,LONSME,74,1,1.00,Age1
2025,3,3/6/2025,346,1,1,LONSME,63,1,1.00,Age1
2025,3,3/6/2025,346,1,1,LONSME,87,1,1.00,Age1
2025,3,3/5/2025,429,1,1,LONSME,91,1,1.00,Age1
2025,3,3/5/2025,432,1,1,LONSME,96,1,1.00,Age2+
2025,3,3/5/2025,433,2,1,LONSME,89,1,1.00,Age1
2025,3,3/5/2025,535,2,1,LONSME,105,1,1.00,Age2+
2025,3,3/4/2025,751,2,1,LONSME,84,1,1.00,Age1
2025,4,4/21/2025,345,1,1,LONSME,40,1,1.00,Age0
2025,4,4/21/2025,346,2,1,LONSME,43,1,1.00,Age0
2025,5,5/19/2025,211,1,1,LONSME,43,4,4.00,Age0
2025,5,5/19/2025,211,1,1,LONSME,44,1,1.00,Age0
2025,5,5/19/2025,211,1,1,LONSME,45,2,2.00,Age0
2025,5,5/19/2025,211,1,1,LONSME,47,2,2.00,Age0
2025,5,5/19/2025,211,1,1,LONSME,48,1,1.00,Age0
2025,5,5/19/2025,211,1,1,LONSME,50,1,1.00,Age0
2025,5,5/19/2025,211,1,1,LONSME,53,1,1.00,Age0
2025,5,5/19/2025,211,1,1,LONSME,55,1,1.00,Age0
2025,5,5/19/2025,211,1,1,LONSME,56,3,3.00,Age0
2025,5,5/19/2025,211,1,1,LONSME,57,1,1.00,Age0
2025,5,5/19/2025,211,2,1,LONSME,40,2,2.00,Age0
2025,5,5/19/2025,211,2,1,LONSME,41,4,4.00,Age0
2025,5,5/19/2025,211,2,1,LONSME,42,1,1.00,Age0
2025,5,5/19/2025,211,2,1,LONSME,43,7,7.00,Age0
2025,5,5/19/2025,211,2,1,LONSME,46,1,1.00,Age0
2025,5,5/19/2025,211,2,1,LONSME,47,1,1.00,Age0
2025,5,5/19/2025,211,2,1,LONSME,48,1,1.00,Age0
2025,5,5/19/2025,211,2,1,LONSME,49,1,1.00,Age0
2025,5,5/19/2025,211,2,1,LONSME,50,1,1.00,Age0
2025,5,5/19/2025,211,2,1,LONSME,53,1,1.00,Age0
2025,5,5/19/2025,215,1,1,LONSME,87,1,1.00,Age1
2025,5,5/19/2025,215,1,1,LONSME,89,1,1.00,Age1
2025,5,5/19/2025,215,1,1,LONSME,94,1,1.00,Age1
2025,5,5/19/2025,215,1,1,LONSME,115,1,1.00,Age2+
2025,5,5/19/2025,215,2,57,LONSME,40,1,1.00,Age0
2025,5,5/19/2025,216,2,1,LONSME,49,1,1.00,Age0
2025,5,5/19/2025,243,1,1,LONSME,52,1,1.00,Age0
2025,5,5/8/2025,323,2,1,LONSME,45,1,1.00,Age0
2025,5,5/8/2025,323,2,1,LONSME,71,1,1.00,Age1
2025,5,5/8/2025,346,1,1,LONSME,41,1,1.00,Age0
2025,5,5/8/2025,346,1,1,LONSME,42,1,1.00,Age0
2025,5,5/8/2025,346,2,1,LONSME,87,1,1.00,Age1
2025,5,5/7/2025,427,1,1,LONSME,43,2,2.00,Age0
2025,5,5/7/2025,427,2,1,LONSME,40,1,1.00,Age0
2025,5,5/7/2025,427,2,1,LONSME,83,1,1.00,Age1
2025,5,5/7/2025,428,1,1,LONSME,41,1,1.00,Age0
2025,5,5/7/2025,428,1,1,LONSME,75,1,1.00,Age1
2025,5,5/7/2025,428,1,1,LONSME,77,1,1.00,Age1
2025,6,6/18/2025,109,2,1,LONSME,44,1,1.00,Age0
2025,6,6/18/2025,110,2,1,LONSME,44,1,1.00,Age0
2025,6,6/18/2025,110,2,1,LONSME,46,1,1.00,Age0
2025,6,6/18/2025,110,2,1,LONSME,52,1,1.00,Age0
2025,6,6/17/2025,211,1,1,LONSME,40,1,1.00,Age0
2025,6,6/17/2025,211,1,1,LONSME,46,1,1.00,Age0
2025,6,6/17/2025,211,1,1,LONSME,52,1,1.00,Age0
2025,6,6/17/2025,211,1,1,LONSME,53,1,1.00,Age0
2025,6,6/17/2025,211,1,1,LONSME,60,1,1.00,Age0
2025,6,6/17/2025,214,2,1,LONSME,43,1,1.00,Age0
2025,6,6/17/2025,215,2,57,LONSME,40,1,1.00,Age0
2025,6,6/17/2025,216,2,57,LONSME,40,1,1.50,Age0
2025,6,6/17/2025,216,2,57,LONSME,41,1,1.50,Age0
2025,6,6/17/2025,216,2,57,LONSME,42,1,1.50,Age0
2025,6,6/17/2025,216,2,57,LONSME,47,1,1.50,Age0
2025,6,6/16/2025,318,1,1,LONSME,47,1,1.00,Age0
2025,6,6/16/2025,319,2,1,LONSME,40,1,1.00,Age0
2025,6,6/16/2025,319,2,1,LONSME,44,2,2.00,Age0
2025,6,6/16/2025,319,2,1,LONSME,49,1,1.00,Age0
2025,6,6/16/2025,319,2,1,LONSME,54,1,1.00,Age0
2025,6,6/16/2025,320,1,1,LONSME,41,1,1.00,Age0
2025,6,6/16/2025,320,1,1,LONSME,43,2,2.00,Age0
2025,6,6/16/2025,320,1,1,LONSME,44,1,1.00,Age0
2025,6,6/16/2025,320,1,1,LONSME,46,1,1.00,Age0
2025,6,6/16/2025,320,1,1,LONSME,47,1,1.00,Age0
2025,6,6/16/2025,320,1,1,LONSME,48,2,2.00,Age0
2025,6,6/16/2025,320,2,1,LONSME,41,1,1.00,Age0
2025,6,6/16/2025,320,2,1,LONSME,42,2,2.00,Age0
2025,6,6/16/2025,320,2,1,LONSME,43,1,1.00,Age0
2025,6,6/16/2025,320,2,1,LONSME,45,1,1.00,Age0
2025,6,6/16/2025,321,1,1,LONSME,40,2,2.00,Age0
2025,6,6/16/2025,321,1,1,LONSME,41,1,1.00,Age0
2025,6,6/16/2025,321,1,1,LONSME,42,2,2.00,Age0
2025,6,6/16/2025,321,1,1,LONSME,43,1,1.00,Age0
2025,6,6/16/2025,321,1,1,LONSME,46,1,1.00,Age0
2025,6,6/16/2025,321,2,1,LONSME,43,1,1.00,Age0
2025,6,6/16/2025,322,1,1,LONSME,40,1,1.00,Age0
2025,6,6/16/2025,322,1,1,LONSME,42,2,2.00,Age0
2025,6,6/16/2025,322,1,1,LONSME,43,2,2.00,Age0
2025,6,6/16/2025,322,1,1,LONSME,45,1,1.00,Age0
2025,6,6/16/2025,322,1,1,LONSME,47,1,1.00,Age0
2025,6,6/16/2025,323,1,1,LONSME,40,1,1.00,Age0
2025,6,6/16/2025,325,1,1,LONSME,40,4,4.00,Age0
2025,6,6/16/2025,325,1,1,LONSME,41,2,2.00,Age0
2025,6,6/16/2025,325,1,1,LONSME,43,2,2.00,Age0
2025,6,6/16/2025,325,1,1,LONSME,44,1,1.00,Age0
2025,6,6/16/2025,325,1,1,LONSME,45,2,2.00,Age0
2025,6,6/16/2025,325,1,1,LONSME,46,1,1.00,Age0
2025,6,6/16/2025,325,1,1,LONSME,47,1,1.00,Age0
2025,6,6/16/2025,325,1,1,LONSME,48,1,1.00,Age0
2025,6,6/16/2025,325,1,1,LONSME,90,1,1.00,Age1
2025,6,6/16/2025,325,1,1,LONSME,91,1,1.00,Age1
2025,6,6/16/2025,325,1,1,LONSME,93,1,1.00,Age1
2025,6,6/16/2025,325,2,1,LONSME,46,1,1.00,Age0
2025,6,6/16/2025,346,1,1,LONSME,40,5,5.00,Age0
2025,6,6/16/2025,346,1,1,LONSME,41,4,4.00,Age0
2025,6,6/16/2025,346,1,1,LONSME,42,2,2.00,Age0
2025,6,6/16/2025,346,1,1,LONSME,43,4,4.00,Age0
2025,6,6/16/2025,346,1,1,LONSME,44,2,2.00,Age0
2025,6,6/16/2025,346,1,1,LONSME,45,3,3.00,Age0
2025,6,6/16/2025,346,1,1,LONSME,46,2,2.00,Age0
2025,6,6/16/2025,346,1,1,LONSME,47,4,4.00,Age0
2025,6,6/16/2025,346,2,1,LONSME,40,1,1.00,Age0
2025,6,6/16/2025,346,2,1,LONSME,45,1,1.00,Age0
2025,6,6/3/2025,427,1,1,LONSME,40,1,1.00,Age0
2025,6,6/3/2025,427,1,1,LONSME,41,3,3.00,Age0
2025,6,6/3/2025,427,1,1,LONSME,44,1,1.00,Age0
2025,6,6/3/2025,427,1,1,LONSME,77,1,1.00,Age1
2025,6,6/3/2025,427,2,1,LONSME,91,1,1.00,Age1
2025,6,6/3/2025,429,1,1,LONSME,97,1,1.00,Age1
2025,6,6/3/2025,430,2,1,LONSME,40,1,1.00,Age0
2025,6,6/3/2025,430,2,1,LONSME,41,2,2.00,Age0
2025,6,6/3/2025,432,1,1,LONSME,40,1,1.00,Age0
2025,7,7/15/2025,109,2,1,LONSME,41,1,1.00,Age0
2025,7,7/15/2025,109,2,1,LONSME,42,1,1.00,Age0
2025,7,7/15/2025,109,2,1,LONSME,43,2,2.00,Age0
2025,7,7/15/2025,109,2,1,LONSME,45,1,1.00,Age0
2025,7,7/15/2025,109,2,1,LONSME,46,1,1.00,Age0
2025,7,7/15/2025,109,2,1,LONSME,47,1,1.00,Age0
2025,7,7/15/2025,109,2,1,LONSME,48,2,2.00,Age0
2025,7,7/15/2025,109,2,1,LONSME,49,1,1.00,Age0
2025,7,7/15/2025,109,2,1,LONSME,50,1,1.00,Age0
2025,7,7/15/2025,109,2,1,LONSME,51,1,1.00,Age0
2025,7,7/15/2025,110,1,1,LONSME,55,1,1.00,Age0
2025,7,7/14/2025,211,2,1,LONSME,40,1,1.00,Age0
2025,7,7/14/2025,211,2,1,LONSME,42,2,2.00,Age0
2025,7,7/14/2025,211,2,1,LONSME,44,1,1.00,Age0
2025,7,7/14/2025,211,2,1,LONSME,46,1,1.00,Age0
2025,7,7/14/2025,211,2,1,LONSME,48,1,1.00,Age0
2025,7,7/14/2025,211,2,1,LONSME,49,2,2.00,Age0
2025,7,7/14/2025,211,2,1,LONSME,52,1,1.00,Age0
2025,7,7/14/2025,211,2,1,LONSME,53,1,1.00,Age0
2025,7,7/14/2025,211,2,1,LONSME,54,2,2.00,Age0
2025,7,7/14/2025,211,2,1,LONSME,55,1,1.00,Age0
2025,7,7/14/2025,213,2,1,LONSME,43,1,1.25,Age0
2025,7,7/14/2025,213,2,1,LONSME,45,2,2.50,Age0
2025,7,7/14/2025,213,2,1,LONSME,50,1,1.25,Age0
2025,7,7/14/2025,213,2,1,LONSME,51,1,1.25,Age0
2025,7,7/14/2025,213,2,1,LONSME,52,2,2.50,Age0
2025,7,7/14/2025,213,2,1,LONSME,55,1,1.25,Age0
2025,7,7/14/2025,214,1,1,LONSME,44,1,1.00,Age0
2025,7,7/14/2025,214,1,1,LONSME,52,1,1.00,Age0
2025,7,7/14/2025,214,2,57,LONSME,46,1,1.00,Age0
2025,7,7/14/2025,214,2,57,LONSME,52,1,1.00,Age0
2025,7,7/14/2025,215,2,57,LONSME,40,1,1.00,Age0
2025,7,7/14/2025,215,2,57,LONSME,55,1,1.00,Age0
2025,7,7/14/2025,216,2,1,LONSME,40,1,2.00,Age0
