"SampleID_frp","LatitudeStart","LongitudeStart","GearTypeAbbreviation","effort","Location","Date","Longfin_CPUE"
"OTTTRA02-GRIZ-17JUN2024",38.132633,122.000955,"OTTTRA",474.833205,"Grizzly Bay",2024-06-17,0
"OTTTRA03-GRIZ-17JUN2024",38.128383,121.996348,"OTTTRA",405.1525775,"Grizzly Bay",2024-06-17,0
"OTTTRA04-TULE-17JUN2024",38.122802,121.983563,"OTTTRA",772.5460875,"Tule Red",2024-06-17,0
"OTTTRA05-TULE-17JUN2024",38.125676,121.985577,"OTTTRA",1815.4648325,"Tule Red",2024-06-17,0
"OTTTRA06-TULE-17JUN2024",38.13029,121.989058,"OTTTRA",1897.0421525,"Tule Red",2024-06-17,0
"OTTTRA07-RYER-17JUN2024",38.078754,122.014442,"OTTTRA",1000.5783425,"Ryer Island",2024-06-17,0
"OTTTRA08-RYER-17JUN2024",38.08055,122.015336,"OTTTRA",1074.3230575,"Ryer Island",2024-06-17,0
"OTTTRA09-RYER-17JUN2024",38.086421,122.023424,"OTTTRA",2053.2508975,"Ryer Island",2024-06-17,0
"OTTTRA01-GRIZ-17OCT2024",38.130237,122.003778,"OTTTRA",1951.64871,"Grizzly Bay",2024-10-17,0
"OTTTRA02-GRIZ-17OCT2024",38.135128,122.008909,"OTTTRA",1889.135655,"Grizzly Bay",2024-10-17,5.29342610920125
"OTTTRA03-GRIZ-17OCT2024",38.13167,121.999987,"OTTTRA",2021.7726925,"Grizzly Bay",2024-10-17,4.94615445005077
"OTTTRA04-TULE-17OCT2024",38.123669,121.984188,"OTTTRA",2132.685335,"Tule Red",2024-10-17,4.68892425707987
"OTTTRA05-TULE-17OCT2024",38.127851,121.987186,"OTTTRA",2092.1183525,"Tule Red",2024-10-17,0
"OTTTRA06-TULE-17OCT2024",38.132226,121.99097,"OTTTRA",2037.36401,"Tule Red",2024-10-17,0
"OTTTRA07-RYER-17OCT2024",38.078816,122.014534,"OTTTRA",1363.316625,"Ryer Island",2024-10-17,0
"OTTTRA08-RYER-17OCT2024",38.083075,122.012927,"OTTTRA",1485.7564975,"Ryer Island",2024-10-17,0
"OTTTRA10-RYER-17OCT2024",38.086087,122.019594,"OTTTRA",850.502675,"Ryer Island",2024-10-17,0
"BEASEI02-TULE-21OCT2024",38.124028,121.979779,"BEASEI",7.182,"Tule Red",2024-10-21,0
"OTTTRA01-GRIZ-14NOV2024",38.131985,122.000595,"OTTTRA",2080.1477675,"Grizzly Bay",2024-11-14,0
"OTTTRA02-GRIZ-14NOV2024",38.132169,121.999178,"OTTTRA",2325.396975,"Grizzly Bay",2024-11-14,0
"OTTTRA03-GRIZ-14NOV2024",38.128595,121.997334,"OTTTRA",1694.1333475,"Grizzly Bay",2024-11-14,0
"OTTTRA04-TULE-14NOV2024",38.121506,121.98135,"OTTTRA",1955.934475,"Tule Red",2024-11-14,0
"OTTTRA05-TULE-14NOV2024",38.124617,121.984735,"OTTTRA",1784.503875,"Tule Red",2024-11-14,0
"OTTTRA06-TULE-14NOV2024",38.127144,121.987114,"OTTTRA",2104.4584,"Tule Red",2024-11-14,0
"OTTTRA07-RYER-14NOV2024",38.078517,122.014046,"OTTTRA",1987.9299275,"Ryer Island",2024-11-14,0
"OTTTRA08-RYER-14NOV2024",38.082583,122.01329,"OTTTRA",1262.8967175,"Ryer Island",2024-11-14,0
"OTTTRA09-RYER-14NOV2024",38.086287,122.023043,"OTTTRA",1714.749355,"Ryer Island",2024-11-14,0
"BEASEI01-TULE-18NOV2024",38.119559,121.978094,"BEASEI",11.907,"Tule Red",2024-11-18,0
"BEASEI02-TULE-18NOV2024",38.124083,121.97973,"BEASEI",11.186,"Tule Red",2024-11-18,0
"BEASEI01-TULE-02DEC2024",38.124085,121.979723,"BEASEI",9.3765,"Tule Red",2024-12-02,0
"OTTTRA01-TULE-17DEC2024",38.121997,121.983058,"OTTTRA",2040.5413875,"Tule Red",2024-12-17,0
"OTTTRA06-GRIZ-17DEC2024",38.13389,122.00144,"OTTTRA",1899.480605,"Grizzly Bay",2024-12-17,5.26459705546717
"OTTTRA02-TULE-17DEC2024",38.127342,121.987104,"OTTTRA",2001.60004,"Tule Red",2024-12-17,0
"OTTTRA07-GRIZ-17DEC2024",38.125919,122.01018,"OTTTRA",2172.882855,"Grizzly Bay",2024-12-17,0
"OTTTRA09-RYER-17DEC2024",38.08327,122.012564,"OTTTRA",1878.790705,"Ryer Island",2024-12-17,0
"OTTTRA10-RYER-17DEC2024",38.081818,122.017867,"OTTTRA",2164.2374325,"Ryer Island",2024-12-17,0
"OTTTRA03-TULE-17DEC2024",38.128895,121.988539,"OTTTRA",2644.3908975,"Tule Red",2024-12-17,0
"OTTTRA04-GRIZ-17DEC2024",38.132248,121.999265,"OTTTRA",2799.786825,"Grizzly Bay",2024-12-17,0
"OTTTRA11-RYER-17DEC2024",38.083348,122.007285,"OTTTRA",2176.2080175,"Ryer Island",2024-12-17,0
"LAMOPE08-RYER-25JAN2024",38.083906,122.013053,"LAMOPE",232.751925056618,"Ryer Island",2024-01-25,0
"BEASEI02-TULE-02DEC2024",38.119572,121.977995,"BEASEI",17.956,"Tule Red",2024-12-02,0
"LAMOPE02-TULE-25JAN2024",38.132876,121.991369,"LAMOPE",257.551731085734,"Tule Red",2024-01-25,0
"LAMOPE04-GRIZ-25JAN2024",38.12561,122.005496,"LAMOPE",280.81804009311,"Grizzly Bay",2024-01-25,0
"LAMOPE07-RYER-25JAN2024",38.080739,122.012098,"LAMOPE",273.23299231529,"Ryer Island",2024-01-25,0
"CAST01-TULE-07MAR2024",38.122112,121.986755,"CAST",NA,"Tule Red",2024-03-07,0
"LAMOPE05-TULE-07MAR2024",38.121533,121.98165,"LAMOPE",168.922111459686,"Tule Red",2024-03-07,0
"LAMOPE04-RYER-11MAR2024",38.089954,122.024705,"LAMOPE",168.922111459686,"Ryer Island",2024-03-11,0
"LAMOPE05-RYER-11MAR2024",38.088223,122.026605,"LAMOPE",241.188915624294,"Ryer Island",2024-03-11,0
"LAMOPE06-RYER-11MAR2024",38.084149,122.00967,"LAMOPE",128.699383986074,"Ryer Island",2024-03-11,0
"LAMOPE05-TULE-12FEB2024",38.121446,121.982784,"LAMOPE",215.36677824735,"Tule Red",2024-02-12,0
"LAMOPE07-RYER-12FEB2024",38.086377,122.022961,"LAMOPE",358.548305905206,"Ryer Island",2024-02-12,0
"LAMOPE02-RYER-21MAY2024",38.077622,122.007773,"LAMOPE",224.14454593097,"Ryer Island",2024-05-21,44.6140679375697
